id,speaker,start,end,duration,reference,hypothesis,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer,perfect,substitution_details,deletion_details,insertion_details,note,changed
234,00234 SP 2,13:51.4,13:51.9,0.52s,ừ,thế là là em,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""em"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thế là là"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",do âm thanh thu bị nhiễu => separation không tách được => lỗi,True
2,00002 SP 2,0:02.7,0:03.7,0.98s,shhhhh,sơ suy thích,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""shhhhh"", ""hypothesis"": ""thích"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""sơ suy"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",tiếng cười,True
40,00040 SP 1,2:51.5,2:52.7,1.18s,hhhhha,với sức khỏe,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""hhhhha"", ""hypothesis"": ""khỏe"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""với sức"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",tiếng cười,True
221,00221 SP 2,13:19.9,13:20.3,0.36s,hahaaa,chưa xin lỗi,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""hahaaa"", ""hypothesis"": ""lỗi"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""chưa xin"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",tiếng cười,True
252,00252 SP 2,14:25.2,14:25.8,0.56s,ừ,cái gì vậy,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""vậy"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""cái gì"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",âm thanh thu nhiễu => bị lỗi nhận diện speaker trong separation,True
626,00626 SP 2,32:55.5,32:56.1,0.62s,huuuu,thế giới dân,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""huuuu"", ""hypothesis"": ""dân"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thế giới"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",tiếng cười,True
235,00235 SP 2,13:53.1,13:53.6,0.48s,ừ,trời ơi,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""ơi"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""trời"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",do âm thanh thu bị nhiễu => separation không tách được => lỗi,True
255,00255 SP 2,14:31.6,14:32.0,0.44s,ừm,đến lúc,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""ừm"", ""hypothesis"": ""lúc"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""đến"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",âm thanh thu nhiễu => bị lỗi nhận diện speaker trong separation,True
261,00261 SP 2,14:43.2,14:44.6,1.38s,hhhhhh,thế thì,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""hhhhhh"", ""hypothesis"": ""thì"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thế"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",tiếng cười,True
354,00354 SP 2,19:24.5,19:24.9,0.40s,yeah,mình ơi,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""yeah"", ""hypothesis"": ""ơi"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""mình"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",asr với backchannel chưa tốt,True
