reference,hypothesis,count
unlearn,lên,6
các,cái,4
đó,nữa,3
thì,then,3
mindset,set,3
fail,phèo,3
và,về,3
tức,rất,3
cô,cụ,3
chill,chiêu,2
lâng lâng,lân lân,2
top,tốt,2
dạ,yeah,2
tại,là,2
format,cách,2
đó,nó,2
rẽ,rẻ,2
à ok,ảo kia,2
á,đó,2
đến,tới,2
á,nữa,2
pr,bia,2
hàn,hàng,2
hoàng,ngoài,2
ừ,is,2
learn,lên,2
unlean,lên,2
xong,không,2
bẫy,bài,2
cuộc,cục,2
cô,cổ,2
phỏng vấn mới chill,phòng bến với chiêu,1
thật,đặt,1
28unit,uniq,1
ấp,áp,1
ủ,bụng,1
nó,đó,1
ấp ủ,áp dụng,1
thế,để,1
sau họp,sâu hộp,1
mở,mà,1
launching,sinh,1
lận,lần,1
rồi,vậy,1
có,là,1
nghĩ,nguyễn,1
miss cosmo,microsoft mo,1
có,ai,1
vẫn,cũng,1
như từ trước,nhưng tôi chính,1
á,ở,1
là the same,lời đề xem,1
y hệt,hay là,1
lười,lời,1
cơ,đó,1
khung,phun,1
format,mắt,1
tụi,tuổi,1
phá,phái,1
thế,nên,1
tụi,cửa,1
phong cách,phông mát,1
ờ,nếu,1
thua,thu,1
cuộc,cụ,1
cược,cử,1
tụi,từ,1
test and,tái sành,1
à ok,ảo kề,1
sau một,after one,1
và,mà,1
không,cũng,1
bởi,thà,1
đó,đấy,1
như,vì,1
and,online,1
đầu,đâu,1
khoảnh,khảnh,1
ờ,thế,1
lúc,kháng,1
ừ,ừm,1
trăn,chăn,1
đợi,đời,1
ở,nó,1
đợi,cái,1
ok ừ ô,là ở ok,1
làm,lầm,1
những,nhận,1
ví,víu,1
educate,eduke,1
nào,này,1
it,nó,1
quả,quảy,1
hoặc,hạc,1
mindset,sát,1
mindset,xếp,1
đau,đâu,1
fixed mindset,money bias,1
và sau đó mình ngã lên đó chính là cái ngã đau nhất cho nên ngay khi anh cảm giác là à,and after that we put on top of it just what kind of thing so when he feels like this one definitely,1
thì đó là cái lúc anh sẽ suy nghĩ lại,then that s when i ll think about it again,1
cái,đấy,1
làm,là,1
đó,lấy,1
là,mình,1
mindset,marcelet,1
fixed đâu,sự thật,1
fail,phao,1
đó báo mạng,nó bão mặn,1
1,một,1
content,tan,1
thế mà,tức là,1
báo,đó,1
nhưng tới một cái thời điểm,but to one particular time period,1
đổi,đội,1
họ cũng thay đổi toàn bộ cái cấu trúc và mô hình công việc của,they also change all of their structure and model work to respond with market conditions,1
fail,fêo,1
nhưng sau đó họ fail là bởi vì,but after that they fell because they fixed,1
họ,thọ,1
fixed mindset,my set,1
bảy,bài,1
fixed mindset,me set,1
ồ,ôi,1
ngã,ngả,1
rớt,đấy,1
hoa hậu,hòa hoàng,1
và,là,1
why not,quay nó,1
hoàn,âm,1
debate,bơi,1
à,ạ,1
thực tế,thịt tới,1
tụi anh,anh tuấn,1
không,ngoài,1
chương,sân,1
hoàn,anh,1
ekip,kiến,1
lại,là,1
ồ a ekip của,ủa vậy kíp vũ,1
hình ảnh,cái ngành,1
ceo,siêu,1
của anh,of angel,1
ừ,em,1
ừ,xem,1
ừ,el,1
đúng,and,1
tại,energy,1
ừ,thế,1
nhiên,niên,1
có những xuất phát điểm,cái số phơi đểm tối,1
lầm,là,1
ừ,yes,1
anh có,em còn,1
ừm,mình,1
hhhhhh,isso,1
cho,giờ,1
tại,bởi,1
thôi,tôi,1
không quan,cũng yên,1
còn,con,1
cháu,chú,1
đến,điểm,1
nửa,nữa,1
tựu và,tự u,1
mươi,mua,1
điểm,điện,1
em đề cập đến việc fix mindset và leanring tại vì nó là một giai đoạn đầu của một khái niệm khá hay ho mà,i m talking about fixing my set and learning because it s one of those early stages of an idea that i ve read recently,1
ừ,êı,1
unlearning,learning,1
anh,ăn,1
nên,nói,1
sẽ,phải,1
chatgpt,gpt,1
bigdata,data,1
góc,gốc,1
unlearn,lớn,1
sau,xong,1
tại vì thứ nhất,because first is that,1
à ok cái mình biết,ảo cái bí mật nó,1
rồi,không,1
thì em mới nhận ra rằng là thật ra là em đã bắt đầu unlearn dần kể,then i realized that actually i started gaining weight from when i stopped working as an accountant,1
ờ,để,1
nhờ,nhỉ,1
đinh,linh,1
luồng,buồng,1
yeah,nhau,1
ừ,cụ,1
ở,sở,1
anh,đến,1
báo,bao,1
shortcontent form,shopping platform,1
