reference,count
cái,13
là,10
thì,9
mà,7
anh,7
à,5
á,5
một,4
được,4
có,4
không,4
nó,4
đó,4
mình,4
thôi,3
người,3
và,3
nữa,3
còn,2
chắn,2
hậu,2
đúng rồi,2
hết,2
bạn,2
trả,2
của,2
thế,1
với tụi,1
thi,1
tới,1
ấy,1
so you,1
chức,1
tập trung được,1
ok,1
vậy,1
trăm,1
thông họ cũng phải thay đổi cái mindset đó,1
fix,1
câu,1
bỏ,1
những,1
điểm,1
trước,1
ờ,1
gọi là cong,1
vừa,1
vậy rồi,1
ra,1
giờ,1
về,1
thể,1
chẳng hạn,1
nếu,1
lắm,1
cơ thể,1
cho,1
mình làm,1
kể,1
đúng,1
vẽ,1
ngàn,1
chín trăm,1
phụ,1
trắng và,1
nhất,1
phải,1
chiều,1
nha,1
mới,1
dụ,1
đẹp,1
thuyết,1
dần,1
làm,1
trở,1
thành,1
bổ,1
cẩn thận,1
gia,1
xong,1
lên,1
không có,1
universe,1
thấy,1
đồng nó,1
họ,1
vã,1
tật tất cả,1
sự hướng,1
như,1
practice,1
gái,1
thành mình,1
uhm,1
