reference,count
ờ,12
à,4
ờm,4
cái,3
không,3
phải,2
của,2
hoàn,2
anh,2
cái cái,2
up,2
thôi,1
fan,1
thi,1
trước giờ mình,1
làm,1
lười,1
test and learn cũng,1
ngay,1
lúc,1
cái gọi là,1
đã,1
đi,1
họ fix,1
not,1
hay,1
nó cũng cũng cũng,1
bạn mà,1
đó là khái niệm,1
à ok,1
luồng,1
báo,1
đó,1
vực,1
nó quá,1
câu quen lắm,1
tại,1
mình làm,1
hold mình back thôi thì chỉ có,1
sắc đẹp,1
ngàn,1
đúng rồi,1
tính,1
triết,1
kể,1
aim minh,1
ừm,1
act,1
thì mình phải hành động,1
good speaker rồi,1
nó đã,1
nói,1
là,1
ta,1
mình,1
tần tật tất cả,1
practice,1
thành mình,1
xong,1
