reference,count
cái,25
ờ,13
mà,7
là,6
thì,6
nó,5
à,4
mình,4
ờm,4
đi,4
anh,4
đó,4
lên,3
và,3
họ,3
một,3
phải,2
làm,2
á,2
cách,2
hoặc,2
à ok,2
thông,2
rồi,2
nữa,2
sẽ,2
cái cái,2
nhưng,2
vì,2
trả,2
kể,2
có,2
mươi bảy,2
lực,2
không,2
cũng,1
lại,1
hơn năm lận và trong quá trình đấy thì mình đã phải plan rất nhiều thứ kể cả cái việc đổi cái format cuộc thi trong nước để phù hợp với cuộc thi,1
đúng không,1
um,1
nghĩ,1
you,1
chắn là mình sẽ,1
cuộc,1
gì,1
tập trung được,1
ừ ô kê,1
không phù hợp,1
nha,1
fixed,1
trăm phần trăm,1
trăm phân trăm đúng,1
cái gọi là,1
đã,1
đổi,1
vũ,1
anh tin,1
gọi là,1
sẽ câu,1
hai tám,1
profile của anh kiểu,1
hàng,1
điểm,1
rằng là,1
anh thì,1
thấy,1
nó cũng cũng cũng,1
mươi phần trăm,1
mươi phần trăm là xuất,1
trên,1
gọi là cong,1
học,1
mới,1
ư,1
em em,1
báo,1
learn,1
ồ,1
khóa,1
thể,1
làm chủ,1
gọi là trong cái,1
chẳng hạn,1
câu quen lắm,1
tại,1
có thể,1
mình làm,1
lại cái,1
nghi đó,1
sao bản thân tôi lại phải ngồi nghe những người bản xứ đánh giá về khả năng nói,1
sắc đẹp,1
đúng,1
và họ,1
chắt,1
một ngàn,1
ngàn chín trăm,1
mươi,1
như miss,1
chín trăm năm mốt gì đó,1
sau đó là người,1
hoặc là,1
tính tính,1
dĩ nhiên,1
mình cũng,1
acknowledge tức là anh phải,1
góc,1
nó có nguy,1
tính,1
được,1
ừm,1
vẻ,1
pháp,1
để,1
đẹp,1
ờm anh,1
cạnh,1
hoàn,1
dần,1
chỉ,1
hậu,1
khi,1
thực ra cái,1
trở,1
tinh,1
nó đã,1
hoa hào,1
đạt,1
thận,1
gia,1
xu hướng,1
ạ,1
nói,1
nào đó,1
hana,1
đi về,1
hậu hoàn,1
cái là một cái,1
xây,1
ở đâu,1
trong,1
mình mình,1
không mình,1
những,1
hướng,1
ấy,1
thành,1
nói là không hề người,1
xin được hướng nội,1
như,1
à mình,1
của,1
em bảo em hướng nội,1
xong,1
