reference,hypothesis,count
đó,nó,6
nó,đó,6
thực,thật,5
hai,2,5
mà,và,5
yeah,dạ,5
anh,em,4
fix,fixed,4
thiên,thiêng,3
lâng lâng,lân lân,2
ba,3,2
phong,format,2
bởi,tại,2
chức,chính,2
thì,thế,2
rẽ,rẻ,2
nghĩ,nghỉ,2
thì,thầy,2
đau,đâu,2
một,100,2
truyền,truyện,2
ừ,bên,2
nói,nó,2
ừ,thì,2
cái,cách,2
sướng,xướng,2
năm,50,2
cong,công,2
unlearn,lớn,2
nữa,á,2
unlearn,lên,2
thân,thuần,2
mình,anh,2
đến,tới,2
lý,ý,2
bảy,70,2
ờm,em,2
ra,ta,2
một,1,2
quang,quan,2
đó,á,2
đăng quang,đang qua,2
nội,đội,2
nghĩa,nghĩ,2
gặp,gặm,2
đập,rập,2
có khác,vô pháp,1
shhhhh,thích,1
mới chill,với chiêu,1
chill,chiêu,1
hy,hi,1
chill,chiếu,1
thật,đặt,1
độc,đọc,1
thách,khách,1
launching,lunching,1
ờ,bên,1
ấp ủ,làm ồn,1
ấp,áp,1
đồng fan,đòn phé,1
đẹp,nẹp,1
thi,phim,1
launching,trinh,1
debate,device,1
ra khỏi,do phải,1
thi,khi,1
nghĩ,nghị,1
tới,đến,1
hhhhha,khỏe,1
có đúng không,don t love,1
so,nữ,1
vẫn,cũng,1
từ trước giờ,tôi chứng nhận,1
the same,để xem,1
y hệt,hết mà,1
lười,lời,1
cơ,đó,1
khung,phung,1
phá,phải,1
ờ,nếu,1
vậy,phải,1
hoặc,ha,1
cược,cực,1
huyết,úy,1
tư,tiêu,1
format,mát,1
chu,chuôi,1
thấy,đang,1
thử,thủ,1
đầu,đâu,1
ờ,ừ,1
lúc,khắc,1
mà,rồi,1
sẽ,giải,1
có,ơ,1
đủ nội,được nỗ,1
ba,mai,1
cái cách làm,trái trách là,1
it,nó,1
sốt,sốc,1
hoặc,hả,1
mindset á,set à,1
kinh nghiệm,chiêm nghiệp,1
duy,duyên,1
lên,trên,1
đổ,lỗ,1
có thể tiến,hết tiếng lần,1
cái,kể,1
đó,đấy,1
chưa,chứ,1
đẹp,điệp,1
fixed đâu,fix được,1
ừ,không,1
lại cho,là do,1
mở,mỡ,1
tạo,tạm,1
bên,mình,1
nó,nên,1
điểm,điển,1
bia,vr,1
quá,á,1
chí,chi,1
win,winless,1
ngã,ngá,1
rớt,rơi,1
hậu hoàn,hoang bố,1
và,về,1
chương trình thực,nghiệp truyền hợp,1
thuật,thuộc,1
why not,white note,1
hoàn,ẩn,1
thực,lực,1
à okay,ảo kê,1
hàn lâm,hèn lắm,1
đến,anh,1
vận chuyển,bệnh truyền,1
tụi,arthur,1
anh,ơn,1
hàn lâm,hàng lăm,1
chương,sương,1
hoàn,hoàng,1
lại,là,1
a,bà,1
cho,trời,1
hahaaa,lỗi,1
nếu,thì,1
muốn,không,1
hai bảy,27 28,1
còn,có,1
tuy nhiên là,tên nhà lạt,1
ừ,em,1
ừ,ơi,1
thay,hay,1
em,anh,1
là,đó,1
ồ,hồn,1
còn,hoặc,1
nhiên,niên,1
có những xuất phát điểm tốt,rất vui phải để anh giấu,1
phát,phần,1
ừ,vậy,1
nhưng,thì,1
ừm,lúc,1
và,cái,1
hhhhhh,thì,1
tại vì anh,ở vn hay,1
cho,dơ,1
phát,phạt,1
không,cũng,1
còn,con,1
xuất,số,1
vươn,vương,1
sướng,trướng,1
khổ,khó,1
vượt,vừa,1
sướng,xưa,1
vượt,vượtt,1
tựu và năm,tụ 50 số,1
tựu nó vượt,thủ vừa kiên,1
tựu,thủ,1
nãy,ngay,1
leanring,learning,1
khái,thái,1
yeah,vâng,1
đóng,nóng,1
à,mà,1
chatgpt,gpt,1
nâng,nânh,1
dựa vào,dự trên,1
bigdata,data,1
okay,ok,1
unlearn,learn,1
em,cũng,1
phải,sẽ,1
