id,speaker,start,end,duration,reference,hypothesis,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer,perfect,substitution_details,deletion_details,insertion_details,note,changed
234,00234 SP 2,13:51.4,13:51.9,0.52s,ừ,thì tao thấy em,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""em"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thì tao thấy"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",do âm thanh thu bị nhiễu => separation không tách được => lỗi,True
235,00235 SP 2,13:53.1,13:53.6,0.48s,ừ,xin mời anh xem,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""xem"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""xin mời anh"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",do âm thanh thu bị nhiễu => separation không tách được => lỗi,True
261,00261 SP 2,14:43.2,14:44.6,1.38s,hhhhhh,is isso isso isso,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""hhhhhh"", ""hypothesis"": ""isso"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""is isso isso"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",tiếng cười,True
255,00255 SP 2,14:31.6,14:32.0,0.44s,ừm,thế mình,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""ừm"", ""hypothesis"": ""mình"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thế"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",âm thanh thu nhiễu => bị lỗi nhận diện speaker trong separation,True
503,00503 SP 2,26:49.3,26:49.8,0.46s,ừm,there s,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""ừm"", ""hypothesis"": ""s"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""there"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",tiếng separation chưa rõ lắm,True
504,00504 SP 2,26:52.1,26:52.5,0.42s,ừ,thế là,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""là"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thế"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",,True
510,00510 SP 2,27:03.8,27:04.3,0.46s,yeah,in là,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""yeah"", ""hypothesis"": ""là"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""in"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",asr sai,True
626,00626 SP 2,32:55.5,32:56.1,0.62s,huuuu,xin xin,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""huuuu"", ""hypothesis"": ""xin"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""xin"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",tiếng cười,True
512,00512 SP 1,27:11.2,27:13.9,2.76s,và nó là một trong những điều cần ụnlearn khi mà mình,and it s one of those things that we need to eat more when we re,12,16,0,12,0,4,16,1.3333333333333333,False,"[{""reference"": ""và nó là một trong những điều cần ụnlearn khi mà mình"", ""hypothesis"": ""of those things that we need to eat more when we re"", ""reference_position"": [0, 12], ""hypothesis_position"": [4, 16], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""and it s one"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 4], ""type"": ""insertion""}]","asr sai với chữ tiếng anh, qwen bị halu sang tiéng anh, qwen tinh chỉnh bị halu khi gặp tiếng anh",True
725,00725 SP 1,37:40.6,37:44.1,3.56s,họ không làm những cái họ hứa họ không action họ không act thì như thế nào,they don t act like they promised them they didn t action it then how does that look,17,18,1,15,1,2,18,1.0588235294117647,False,"[{""reference"": ""họ không làm những cái họ hứa họ không"", ""hypothesis"": ""t act like they promised them they didn t"", ""reference_position"": [0, 9], ""hypothesis_position"": [2, 11], ""type"": ""substitution""}, {""reference"": ""họ không act thì như thế"", ""hypothesis"": ""it then how does that look"", ""reference_position"": [10, 16], ""hypothesis_position"": [12, 18], ""type"": ""substitution""}]","[{""reference"": ""nào"", ""hypothesis"": """", ""reference_position"": [16, 17], ""hypothesis_position"": [18, 18], ""type"": ""deletion""}]","[{""reference"": """", ""hypothesis"": ""they don"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",qwen tinh chỉnh bị lỗi lặp từ cuối,True
