id,reference,Whisper_wer,Whisper_perfect,PhoWhisper_wer,PhoWhisper_perfect,Qwen3_wer,Qwen3_perfect,Final_wer,Final_perfect,num_perfect_models,perfect_models,all_correct,all_wrong
0,bên ngoài thì trời đang mưa rồi,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
1,mời được anh hoàng đến đây có khác trời đổ mưa liền,0.16666666666666666,False,0.25,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
2,shhhhh,3.0,False,4.0,False,1.0,False,7.0,False,0,,False,True
3,không khí phỏng vấn mới chill,0.3333333333333333,False,0.5,False,0.8333333333333334,False,0.3333333333333333,False,0,,False,True
4,chill thật là hy vọng là cái cuộc trò chuyện của mình nó cũng chill như cơn mưa nhưng mà,0.15,False,0.1,False,0.1,False,0.1,False,0,,False,True
5,thử thì vẫn phải thử mà thách thì vẫn phải thách chào mừng anh hoàng đến với thử thật thách,0.05,False,0.25,False,0.1,False,0.05,False,0,,False,True
6,xin chào 28unit và xin chào tất cả các độc giả của thử thách tôi đã sẵn sàng với những câu hỏi cực kỳ khó của host nghiêm ngọc,0.10344827586206896,False,0.2413793103448276,False,0.13793103448275862,False,0.034482758620689655,False,0,,False,True
7,nhưng mà đầu tiên thì cũng mình bắt đầu một cái dễ dàng thôi là vừa launching xong cuộc thi miss cosmo rồi cảm xúc của anh bây giờ như thế nào,0.03125,False,0.09375,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
8,ờ,1.0,False,1.0,False,1.0,False,2.0,False,0,,False,True
9,cảm xúc của anh là lâng lâng tại vì bận quá,0.18181818181818182,False,0.0,True,0.18181818181818182,False,0.0,True,2,"PhoWhisper, Final",False,False
10,nói thật là kiểu khi mà mình,0.0,True,0.2857142857142857,False,0.0,True,0.0,True,3,"Whisper, Qwen3, Final",False,False
11,mình ấp ủ,0.6666666666666666,False,0.0,True,0.3333333333333333,False,0.6666666666666666,False,1,PhoWhisper,False,False
12,giống như mình áp ủ một đứa con của mình vậy đó xong cuối cùng là mình nhìn thấy cái ngày mà mình được giới thiệu với mọi người,0.0,True,0.06896551724137931,False,0.034482758620689655,False,0.0,True,2,"Whisper, Final",False,False
13,trong cái chương trình đó có thể là đối với mọi người nó là một buổi họp báo đơn giản thôi nhưng đối với tụi anh thật sự nó là rất là nhiều những cái,0.0,True,0.14285714285714285,False,0.08571428571428572,False,0.02857142857142857,False,1,Whisper,False,False
14,tâm tư mà mình,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
15,mình ấp ủ mình chuẩn bị cho một thời gian dài,0.09090909090909091,False,0.36363636363636365,False,0.2727272727272727,False,0.18181818181818182,False,0,,False,True
16,và cuối cùng mình cũng có thể được chia sẻ với mọi người,0.07692307692307693,False,0.07692307692307693,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
17,và may mắn là ngày hôm đó xong thì tụi anh nhận được một cái hiệu ứng rất là tích cực sự đón nhận,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
18,của cộng đồng không phải chỉ trong nước mà còn ngoài nước cộng đồng fan quốc tế nữa,0.16666666666666666,False,0.2222222222222222,False,0.0,True,0.2222222222222222,False,1,Qwen3,False,False
19,và anh nhận được rất là nhiều những lời chúc mừng từ những người bạn những người đồng nghiệp cũ những network của anh trên cả thế giới trong cái lĩnh vực sắc đẹp,0.058823529411764705,False,0.11764705882352941,False,0.029411764705882353,False,0.0,True,1,Final,False,False
20,thế nên là đầu tiên thì rất vui và lâng lâng nhưng mà sau đó mình mới nhận ra là à cái khối lượng công việc phải tiếp tục xử lý sau họp báo mình tưởng là nhẹ nhàng đi nhưng cuối cùng lại tăng lên,0.13043478260869565,False,0.043478260869565216,False,0.15217391304347827,False,0.021739130434782608,False,0,,False,True
21,cho nên là thực ra hiện đại tất cả mọi người đều đang tăng ca hết công suất để có thể đáp ứng được và,0.04,False,0.0,True,0.0,True,0.0,True,3,"PhoWhisper, Qwen3, Final",False,False
22,đảm bảo là những cái lời hứa mà mình mang đến cho khán giả trong ngày họp báo thì,0.05263157894736842,False,0.15789473684210525,False,0.15789473684210525,False,0.0,True,1,Final,False,False
23,mình sẽ làm được nhiều và nhiều hơn nữa,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
24,từ cái lúc mà anh nói cho em biết về,0.0,True,0.0,True,0.1,False,0.1,False,2,"Whisper, PhoWhisper",False,False
25,cái dự định mở một cuộc thi mới cho đến khi launching đến bây giờ là,0.1875,False,0.25,False,0.25,False,0.25,False,0,,False,True
26,hơn năm,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
27,hơn năm lận và trong quá trình đấy thì mình đã phải plan rất nhiều thứ kể cả cái việc đổi cái format cuộc thi trong nước để phù hợp với cuộc thi,1.0,False,0.2727272727272727,False,0.15151515151515152,False,0.30303030303030304,False,0,,False,True
28,đúng rồi,0.0,True,1.0,False,0.5,False,0.0,True,2,"Whisper, Final",False,False
29,cho nước ngoài sắp tới thì trong đó có một cái thay đổi mà,0.0,True,0.14285714285714285,False,0.07142857142857142,False,0.0,True,2,"Whisper, Final",False,False
30,có một cái thay đổi mà rất là nhiều người chú ý là không có top ba chỉ có top hai thôi cũng không,0.125,False,0.16666666666666666,False,0.16666666666666666,False,0.08333333333333333,False,0,,False,True
31,câu hỏi câu hỏi ứng xử mà debate với nhau luôn,0.09090909090909091,False,0.0,True,0.0,True,0.0,True,3,"PhoWhisper, Qwen3, Final",False,False
32,có rất là nhiều thay đổi như vậy,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
33,và đôi khi em thắc mắc là lý do tại sao anh quyết định đổi như vậy,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
34,có phải là nếu như mà,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
35,cái này là em nghĩ thôi nha nếu như không đổi thì cuộc thi của mình nó vẫn sẽ giống như những cuộc thi thông thường,0.0,True,0.038461538461538464,False,0.0,True,0.0,True,3,"Whisper, Qwen3, Final",False,False
36,dạ,0.0,True,0.0,True,1.0,False,0.0,True,3,"Whisper, PhoWhisper, Final",False,False
37,nó rất là khó nổi bật ra khỏi cái mặt bằng chung rất nhiều của thi hiện nay,0.3333333333333333,False,0.3333333333333333,False,0.1111111111111111,False,0.0,True,1,Final,False,False
38,anh nghĩ ngọc chắc là một trong những người biết,0.1,False,0.0,True,0.1,False,0.1,False,1,PhoWhisper,False,False
39,về những cái cột mốc và những thay đổi đầu tiên của miss cosmo từ việt nam tới quốc tế thì anh không hiểu tại sao trong những dịp mà anh đang suy nghĩ về việc làm cái gì mới thì,0.07317073170731707,False,0.3170731707317073,False,0.17073170731707318,False,0.04878048780487805,False,0,,False,True
40,hhhhha,3.0,False,6.0,False,1.0,False,3.0,False,0,,False,True
41,gần như tình cờ là anh em mình đều gặp nhau đúng không trong những buổi cà phê,0.1111111111111111,False,0.0,True,0.0,True,0.0,True,3,"PhoWhisper, Qwen3, Final",False,False
42,um thì,0.5,False,0.5,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
43,anh nghĩ ấy,0.3333333333333333,False,1.0,False,0.3333333333333333,False,1.0,False,0,,False,True
44,cái quan điểm từ của anh giờ nó không đổi tức là,0.08333333333333333,False,0.25,False,0.16666666666666666,False,0.0,True,1,Final,False,False
45,nếu mà mình chỉ có làm mọi thứ giống nhau thì mình không thể mong đợi kết quả nó sẽ khác đi được,0.0,True,0.043478260869565216,False,0.043478260869565216,False,0.0,True,2,"Whisper, Final",False,False
46,có đúng không,1.3333333333333333,False,0.3333333333333333,False,0.3333333333333333,False,1.3333333333333333,False,0,,False,True
47,phụ so you,0.6666666666666666,False,1.0,False,0.3333333333333333,False,0.0,True,1,Final,False,False
48,thì rõ ràng là nếu mà mình vẫn làm như từ trước giờ mình làm và mình cũng làm giống như cách mọi người làm và mọi nghĩ nó phải là á,0.1875,False,0.125,False,0.1875,False,0.21875,False,0,,False,True
49,thì chắc chắn cái kết quả nó sẽ là the same nó chỉ có thể là giống hoặc tệ hơn thôi,0.09523809523809523,False,0.23809523809523808,False,0.14285714285714285,False,0.09523809523809523,False,0,,False,True
50,tại vì người ta đã làm rồi,0.0,True,0.0,True,0.14285714285714285,False,0.0,True,3,"Whisper, PhoWhisper, Final",False,False
51,mình cũng làm lặp lại y hệt mình còn tư duy lười cải tiến nữa thì chắc chắn là sẽ không thành công,0.17391304347826086,False,0.13043478260869565,False,0.17391304347826086,False,0.13043478260869565,False,0,,False,True
52,thì quan điểm của tụi anh là nếu mà mình có một cái cơ hội để làm mới thì mình sẽ làm mới,0.043478260869565216,False,0.0,True,0.0,True,0.0,True,3,"PhoWhisper, Qwen3, Final",False,False
53,mà ở đây mình còn là có cơ hội làm từ đâu nữa cơ,0.07142857142857142,False,0.07142857142857142,False,0.07142857142857142,False,0.07142857142857142,False,0,,False,True
54,anh coi đó là cơ hội nhé tại vì mình sinh ra cái thương hiệu cái sản phẩm này là từ bắt đầu,0.17391304347826086,False,0.08695652173913043,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
55,cho nên mình cũng không bị đóng khung trong câu chuyện là phải như thế nào cho đúng,0.05555555555555555,False,0.05555555555555555,False,0.05555555555555555,False,0.05555555555555555,False,0,,False,True
56,thì anh chỉ thấy là à ok có những cái nguyên tắc trong cái việc,0.0,True,0.13333333333333333,False,0.0,True,0.0,True,3,"Whisper, Qwen3, Final",False,False
57,tạo nên phong cách của một cuộc thi sắc đẹp mà mình nên giữ nhưng còn lại thì anh để cho bản thân và để cho tất cả đội ngũ của mình rất là thoải mái trong cách tư duy xây dựng format,0.046511627906976744,False,0.11627906976744186,False,0.06976744186046512,False,0.046511627906976744,False,0,,False,True
58,cho nên là tụi anh gần như,0.0,True,0.0,True,0.2857142857142857,False,0.0,True,3,"Whisper, PhoWhisper, Final",False,False
59,phá cái cấu trúc truyền thống và khi mà đặt vào bất cứ một cái khuôn mẫu nào thì anh luôn tự hỏi là tại sao mình phải làm như vậy có cách nào làm khác đi không,0.05263157894736842,False,0.0,True,0.02631578947368421,False,0.02631578947368421,False,1,PhoWhisper,False,False
60,thế nên là tụi anh cũng,0.0,True,0.0,True,0.3333333333333333,False,0.0,True,3,"Whisper, PhoWhisper, Final",False,False
61,có thể gọi là khá là táo bạo những câu chuyện là đập vỡ cái format truyền thống mà mình xây một cái phong cách hoàn toàn mới cho cosmo,0.1,False,0.2,False,0.13333333333333333,False,0.06666666666666667,False,0,,False,True
62,ờ mà nói là chắc chắn sẽ thành công hoặc là anh tự tin là ok tôi làm khác tôi sẽ thắng,0.045454545454545456,False,0.13636363636363635,False,0.09090909090909091,False,0.045454545454545456,False,0,,False,True
63,thì không hẳn,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
64,nhưng mà chắc chắn anh nói đó nếu mà mình không làm khác thì chắc chắn là mình sẽ,0.2631578947368421,False,0.05263157894736842,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
65,mình sẽ chỉ vậy thôi hoặc,0.3333333333333333,False,0.0,True,0.16666666666666666,False,0.16666666666666666,False,1,PhoWhisper,False,False
66,chắc chắn là chỉ thua thôi,0.0,True,0.0,True,0.16666666666666666,False,0.0,True,3,"Whisper, PhoWhisper, Final",False,False
67,cho nên là bây giờ đây là một cái cuộc đặc cược,0.16666666666666666,False,0.08333333333333333,False,0.16666666666666666,False,0.16666666666666666,False,0,,False,True
68,dĩ nhiên là mình phải đặt cược với rất nhiều tâm huyết rất nhiều tư duy ở trong đó và tụi anh cũng test and learn cũng thử và học,0.06666666666666667,False,0.23333333333333334,False,0.16666666666666666,False,0.13333333333333333,False,0,,False,True
69,cũng tham khảo ý kiến của rất nhiều nguồn,0.1111111111111111,False,0.0,True,0.1111111111111111,False,0.0,True,2,"PhoWhisper, Final",False,False
70,và cũng có những cái mà anh thấy là à,0.1,False,0.2,False,0.1,False,0.2,False,0,,False,True
71,nó không được như mình kỳ vọng đó nhưng mình vẫn sẽ thử đó và cũng có những cái à ok cho tới bây giờ mọi người đã bắt đầu quen ví dụ như,0.0,True,0.08823529411764706,False,0.08823529411764706,False,0.0,True,2,"Whisper, Final",False,False
72,ừ,0.0,True,1.0,False,1.0,False,0.0,True,2,"Whisper, Final",False,False
73,sau một cái format,0.5,False,0.5,False,0.75,False,0.5,False,0,,False,True
74,của việt nam thì bây giờ tụi anh công bố cái việc mà chọn top hai cho cuộc quốc tế,0.05,False,0.05,False,0.0,True,0.05,False,1,Qwen3,False,False
75,thì rất là nhiều khán giả của việt nam và quốc tế họ đã quen rồi và họ nói là à,0.0,True,0.047619047619047616,False,0.047619047619047616,False,0.0,True,2,"Whisper, Final",False,False
76,thực ra đây không phải là một bài test nữa bởi vì tổ chức này đã làm điều đó ở cuộc thi việt nam và chắc chắn họ đã học được kinh nghiệm để tổ chức điều đó một cách chỉnh chu nhất,0.13953488372093023,False,0.2558139534883721,False,0.2558139534883721,False,0.023255813953488372,False,0,,False,True
77,thì anh thấy happy là mình đã dám thử,0.1111111111111111,False,0.1111111111111111,False,0.1111111111111111,False,0.1111111111111111,False,0,,False,True
78,nhưng mà trong mọi cái thử gọi là,0.125,False,0.0,True,0.0,True,0.0,True,3,"PhoWhisper, Qwen3, Final",False,False
79,như anh nói rằng là cái này nó làm mình test and learn,0.0,True,0.0,True,0.3076923076923077,False,0.15384615384615385,False,2,"Whisper, PhoWhisper",False,False
80,thì,1.0,False,0.0,True,0.0,True,1.0,False,2,"PhoWhisper, Qwen3",False,False
81,nó sẽ không có đúng và sai nó chỉ có là nên hay không nên,0.06666666666666667,False,0.2,False,0.2,False,0.06666666666666667,False,0,,False,True
82,dạ,0.0,True,1.0,False,1.0,False,2.0,False,1,Whisper,False,False
83,thì trong suốt một quá trình đó,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
84,đầu có một khoảnh khắc nào đó anh cảm thấy rằng là đáng lẽ mình không nên làm như vậy,0.05,False,0.05,False,0.1,False,0.0,True,1,Final,False,False
85,ờ,1.0,False,0.0,True,1.0,False,1.0,False,1,PhoWhisper,False,False
86,hoặc là đáng lẽ nên mình giữ một chút nào đó gọi là fix mindset cái format cố định không hay là có một lúc nào mình quyết định mình nghĩ như vậy không,0.17647058823529413,False,0.4411764705882353,False,0.29411764705882354,False,0.058823529411764705,False,0,,False,True
87,ừ,0.0,True,0.0,True,1.0,False,0.0,True,3,"Whisper, PhoWhisper, Final",False,False
88,câu này anh thấy cũng rất là hay anh nghĩ ai chắc sẽ có trăn trở khi mình chọn nhưng mà,0.0,True,0.09523809523809523,False,0.19047619047619047,False,0.0,True,2,"Whisper, Final",False,False
89,quan điểm của anh là gì ví dụ mình tới một ngã ba mà mình đã rẽ trái,0.1111111111111111,False,0.05555555555555555,False,0.05555555555555555,False,0.0,True,1,Final,False,False
90,ở cái thời điểm đó mình không biết cái gì đợi mình ở hướng bên phải hết á,0.0,True,0.05555555555555555,False,0.1111111111111111,False,0.0,True,2,"Whisper, Final",False,False
91,ừm,0.0,True,1.0,False,1.0,False,0.0,True,2,"Whisper, Final",False,False
92,còn nếu mình đang đi bên trái và mình cứ nghĩ mãi là cái gì đợi phương hướng còn lại thì mình sẽ không bao giờ tập trung được tập trung được,0.09375,False,0.1875,False,0.21875,False,0.0,True,1,Final,False,False
93,cho cái hướng đi của mình,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
94,thế nên là anh có hai câu chuyện một là lúc chuẩn bị rẽ thì phải nghĩ thật kỹ,0.15789473684210525,False,0.05263157894736842,False,0.10526315789473684,False,0.05263157894736842,False,0,,False,True
95,nhưng đã rẽ rồi là phải tập trung vào,0.1111111111111111,False,0.0,True,0.1111111111111111,False,0.1111111111111111,False,1,PhoWhisper,False,False
96,anh sẽ không có,0.5,False,0.25,False,0.0,True,0.25,False,1,Qwen3,False,False
97,ok ừ ô kê giá mà hồi kia mình làm khác đi hoặc là mình cứ làm theo cách đó thôi thì có thể nó sẽ khác hơn,0.10714285714285714,False,0.03571428571428571,False,0.14285714285714285,False,0.0,True,1,Final,False,False
98,suy nghĩ như vậy nó không có,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
99,giúp ích được gì cho bản thân mình hết nên anh sẽ không nghĩ,0.07142857142857142,False,0.07142857142857142,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
100,còn câu chuyện là chắc chắn giống như em nói có những lúc mình thử xong mình sẽ học bài học làm sao,0.043478260869565216,False,0.17391304347826086,False,0.17391304347826086,False,0.17391304347826086,False,0,,False,True
101,hoặc mình thấy là à ok cái này không phù hợp không phù hợp,0.42857142857142855,False,0.21428571428571427,False,0.2857142857142857,False,0.2857142857142857,False,0,,False,True
102,có thể là bởi vì,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
103,một là thời điểm,0.0,True,0.25,False,0.0,True,0.0,True,3,"Whisper, Qwen3, Final",False,False
104,thị trường chưa đón nhận hoặc chưa đủ để đón những cái sản phẩm này hoặc bản thân mình chưa đủ nội lực mà,0.125,False,0.125,False,0.125,False,0.0,True,1,Final,False,False
105,ví dụ mình muốn làm cái mới mà nội lực mình chuẩn bị chưa xong,0.0,True,0.0,True,0.2,False,0.0,True,3,"Whisper, PhoWhisper, Final",False,False
106,thì dù là bất cứ lý do gì thì mình phải rút ra cái bài học là một là mình phải hoàn thiện nội lực hai là mình,0.03571428571428571,False,0.03571428571428571,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
107,educate thêm thị trường từ từ ba nữa là mình phải chờ đợi cái thành công nó đến muộn hơn chút xíu chẳng hạn,0.041666666666666664,False,0.08333333333333333,False,0.041666666666666664,False,0.041666666666666664,False,0,,False,True
108,thì,1.0,False,1.0,False,1.0,False,1.0,False,0,,False,True
109,cuối cùng là,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
110,cái cách làm mới nào,0.6,False,0.0,True,0.2,False,0.2,False,1,PhoWhisper,False,False
111,it cũng cần một cái khoảng thời gian để mình bắt đầu mình hái được quả,0.1875,False,0.0625,False,0.0625,False,0.0,True,1,Final,False,False
112,quả nó đắng ngọt anh chưa biết nha nhưng mà chắc chắn là không thể nào nó có ngay được,0.0,True,0.1,False,0.05,False,0.0,True,2,"Whisper, Final",False,False
113,nên là,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
114,anh thì anh cũng không sốt ruột đến mức như vậy,0.09090909090909091,False,0.18181818181818182,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
115,còn,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
116,ở trong cái câu hỏi của em thì anh thấy có một ý đó là,0.06666666666666667,False,0.06666666666666667,False,0.06666666666666667,False,0.0,True,1,Final,False,False
117,có khi nào mà mình nên,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
118,chung thành với một cái fix,0.0,True,0.3333333333333333,False,0.0,True,0.0,True,3,"Whisper, Qwen3, Final",False,False
119,hoặc em nói là fix mindset á,0.5714285714285714,False,0.5714285714285714,False,0.14285714285714285,False,0.14285714285714285,False,0,,False,True
120,thì anh nghĩ là,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
121,quan điểm của anh nha thứ đầu tiên là mình tốn rất là nhiều mình kỳ công mà để mình tạo nên cái mindset của mình,0.038461538461538464,False,0.19230769230769232,False,0.07692307692307693,False,0.07692307692307693,False,0,,False,True
122,cái tư duy của mình tại vì mindset của một người nó được tạo ra từ kiến thức của họ,0.0,True,0.15,False,0.15,False,0.1,False,1,Whisper,False,False
123,từ những cái trải nghiệm từ kinh nghiệm của bản thân họ thì tạo nên cái tư duy của họ đúng không,0.13636363636363635,False,0.13636363636363635,False,0.0,True,0.0,True,2,"Qwen3, Final",False,False
124,và khi mình tạo lên được cái tư duy của mình á,0.0,True,0.0,True,0.08333333333333333,False,0.0,True,3,"Whisper, PhoWhisper, Final",False,False
125,thì cái ngã đau nhất chính là ngã lên trên cái fixed mindset đó của mình tại vì mình tin là mình đúng mà,0.08333333333333333,False,0.20833333333333334,False,0.16666666666666666,False,0.125,False,0,,False,True
126,mình làm tất cả để mình tạo nên cái sản phẩm,0.0,True,0.0,True,0.0,True,0.0,True,4,"Whisper, PhoWhisper, Qwen3, Final",True,False
127,và sau đó mình ngã lên đó chính là cái ngã đau nhất cho nên ngay khi anh cảm giác là à cái này chắc chắn,0.19230769230769232,False,0.11538461538461539,False,1.0,False,0.038461538461538464,False,0,,False,True
