id,speaker,start,end,duration,reference,hypothesis,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer,perfect,substitution_details,deletion_details,insertion_details,note,changed
0,00000 SP 1,0:00.4,0:01.8,1.34s,bên ngoài thì trời đang mưa rồi,bên ngoài thì trời đang mưa rồi,7,7,7,0,0,0,0,0.0,True,[],[],[],,False
1,00001 SP 1,0:02.2,0:04.6,2.40s,mời được anh hoàng đến đây có khác trời đổ mưa liền,mời được anh hoàng đến đây vô pháp trời đổ mưa liền,12,12,10,2,0,0,2,0.16666666666666666,False,"[{""reference"": ""có khác"", ""hypothesis"": ""vô pháp"", ""reference_position"": [6, 8], ""hypothesis_position"": [6, 8], ""type"": ""substitution""}]",[],[],,False
2,00002 SP 2,0:02.7,0:03.7,0.98s,shhhhh,sơ suy thích,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""shhhhh"", ""hypothesis"": ""thích"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""sơ suy"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",tiếng cười,True
3,00003 SP 2,0:05.6,0:07.7,2.06s,không khí phỏng vấn mới chill,không khí phỏng vấn với chiêu,6,6,4,2,0,0,2,0.3333333333333333,False,"[{""reference"": ""mới chill"", ""hypothesis"": ""với chiêu"", ""reference_position"": [4, 6], ""hypothesis_position"": [4, 6], ""type"": ""substitution""}]",[],[],asr sai,True
4,00004 SP 1,0:08.3,0:12.6,4.27s,chill thật là hy vọng là cái cuộc trò chuyện của mình nó cũng chill như cơn mưa nhưng mà,chiêu thật là hi vọng là cái cuộc trò chuyện của mình nó cũng chiếu như cơn mưa nhưng mà,20,20,17,3,0,0,3,0.15,False,"[{""reference"": ""chill"", ""hypothesis"": ""chiêu"", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 1], ""type"": ""substitution""}, {""reference"": ""hy"", ""hypothesis"": ""hi"", ""reference_position"": [3, 4], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}, {""reference"": ""chill"", ""hypothesis"": ""chiếu"", ""reference_position"": [14, 15], ""hypothesis_position"": [14, 15], ""type"": ""substitution""}]",[],[],asr sai từ tiếng anh,True
5,00005 SP 1,0:13.1,0:17.4,4.31s,thử thì vẫn phải thử mà thách thì vẫn phải thách chào mừng anh hoàng đến với thử thật thách,thử thì vẫn phải thử mà thách thì vẫn phải thách chào mừng anh hoàng đến với thử đặt thách,20,20,19,1,0,0,1,0.05,False,"[{""reference"": ""thật"", ""hypothesis"": ""đặt"", ""reference_position"": [18, 19], ""hypothesis_position"": [18, 19], ""type"": ""substitution""}]",[],[],asr sai,True
6,00006 SP 2,0:18.2,0:26.8,8.62s,xin chào 28unit và xin chào tất cả các độc giả của thử thách tôi đã sẵn sàng với những câu hỏi cực kỳ khó của host nghiêm ngọc,xin chào 28unit và xin chào tất cả các đọc giả của thử thật khách tôi đã sẵn sàng với những câu hỏi cực kỳ khó của host nghiêm ngọc,29,30,27,2,0,1,3,0.10344827586206896,False,"[{""reference"": ""độc"", ""hypothesis"": ""đọc"", ""reference_position"": [9, 10], ""hypothesis_position"": [9, 10], ""type"": ""substitution""}, {""reference"": ""thách"", ""hypothesis"": ""khách"", ""reference_position"": [13, 14], ""hypothesis_position"": [14, 15], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thật"", ""reference_position"": [13, 13], ""hypothesis_position"": [13, 14], ""type"": ""insertion""}]",,True
7,00007 SP 1,0:37.6,0:45.5,7.90s,nhưng mà đầu tiên thì cũng mình bắt đầu một cái dễ dàng thôi là vừa launching xong cuộc thi miss cosmo rồi cảm xúc của anh bây giờ như thế nào,nhưng mà đầu tiên thì cũng mình bắt đầu một cái dễ dàng thôi là vừa lunching xong cuộc thi miss cosmo rồi cảm xúc của anh bây giờ như thế nào,32,32,31,1,0,0,1,0.03125,False,"[{""reference"": ""launching"", ""hypothesis"": ""lunching"", ""reference_position"": [16, 17], ""hypothesis_position"": [16, 17], ""type"": ""substitution""}]",[],[],,False
8,00008 SP 2,0:46.1,0:46.6,0.44s,ờ,bên,1,1,0,1,0,0,1,1.0,False,"[{""reference"": ""ờ"", ""hypothesis"": ""bên"", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 1], ""type"": ""substitution""}]",[],[],asr sai,True
9,00009 SP 2,0:47.3,0:49.6,2.27s,cảm xúc của anh là lâng lâng tại vì bận quá,cảm xúc của anh là lân lân tại vì bận quá,11,11,9,2,0,0,2,0.18181818181818182,False,"[{""reference"": ""lâng lâng"", ""hypothesis"": ""lân lân"", ""reference_position"": [5, 7], ""hypothesis_position"": [5, 7], ""type"": ""substitution""}]",[],[],,False
