reference,hypothesis,count
yeah,giờ,4
unlearn,lên,4
từ,from,3
format,cách,3
unlearn,lớn,3
chill,chiêu,2
top,tốt,2
rẽ,rẻ,2
á,nữa,2
fail,phao,2
fail,phèo,2
debate,bơi,2
hàn,hàng,2
ừ,từ,2
yeah,nhờ,2
unlean,lên,2
shhhhh,đổi,1
mới chill,với chiêu,1
thật,đặt,1
28unit,28uniq,1
ờ,vâng,1
ấp ủ,làm ồn,1
ấp ủ,áp dụng,1
cộng đồng,mà còn,1
cuộc,phim,1
launching,sinh,1
lận,lần,1
đấy,đó,1
plan,qua,1
cái format,tổ chức,1
nghĩ,nghị,1
miss cosmo,microsoft mo,1
hhhhha,khỏe,1
nghĩ ấy,ăn nghỉ,1
có đúng không,don t love,1
vẫn,cũng,1
từ,tôi,1
á,ở,1
the same,đề xem,1
y hệt,hay là,1
cơ,đó,1
khung,phun,1
phá,phải,1
ờ,if,1
cuộc,cụ,1
cược,cử,1
là,lạ,1
format,mát,1
test,thử,1
and learn,và học,1
cái format,phím mã,1
có,ngơ,1
à ok,này không,1
hợp,hợt,1
ba,mãi,1
nào,này,1
hoặc,hả,1
mindset,sát,1
mindset,xếp,1
fixed mindset,money bias,1
cái,khi,1
learning,hỏi,1
cái,kể,1
mindset,marcelet,1
fixed đâu,sự thật,1
ừ,không,1
social media content,smm cần thiết,1
fail,fêo,1
nhưng sau đó họ fail là bởi vì,but after that they failed because they fixed,1
fixed mindset,my set,1
bảy,bài,1
fixed mindset là,fix my set,1
nhiều rớt,như vậy,1
hậu,hoan,1
và,về,1
why,quay,1
à,ạ,1
thực tế,thịt tới,1
tụi,tuấn,1
chương,sương,1
hoàn,hoàng,1
hahaaa,lỗi,1
ừ,em,1
ừ,xem,1
ừ,thế,1
có những xuất phát điểm tốt,rất vui phải để anh giấu,1
rằng là,ngẩng cao,1
ừ,lấy,1
ừm,mình,1
ừ,thì,1
hhhhhh,thì,1
cho,giờ,1
không quan,rồi yên,1
còn,con,1
tức,rất,1
nhiều,như,1
đến,điểm,1
á,đó,1
tựu,tụ,1
unlearning,quên,1
cong,công,1
unlearn,hỏi,1
learn,hỏi,1
cái,đó,1
rồi,không,1
unlearn,lơn,1
nhờ,nhỉ,1
yeah,nhau,1
ừ,cụ,1
họ,mà,1
learn,lên,1
nó,tôi,1
ôi,oi,1
than trách,thang chắc,1
ừm,thứs,1
nếu mà unlearn trong lĩnh,ở lên vùng mình bức,1
đẹp,này,1
ờ,ít,1
bão,bảo,1
đàng hoàng,này nọ,1
không tích cực,vâng tất all,1
challenge,ơn,1
đúng không,bàu đùa,1
sao,why,1
và,and,1
sẽ phải unlearn,phải học lại,1
là,lẹ,1
triết,chiết,1
nhưng mà,quan hệ,1
nhưng,kể,1
một á,màu bắc,1
bẫy,bài,1
format,các,1
bod,body,1
từ trước như,như mình làm,1
hết,đó,1
ừm,nguyễnừm,1
câu,con,1
hoa hậu,qua họ,1
ừ,được,1
nó,ita,1
ừm,diệt,1
ừ,là,1
yeah,là,1
và nó là một trong những điều cần ụnlearn khi mà mình,of those things that we need to eat more when we re,1
circle,cung,1
ielts,bayern,1
bản,bạn,1
xong,sau,1
đúng không,được phẫu,1
ngàn,nghìn,1
một,nghìn,1
mấy,dặm,1
các,tết,1
thể,lẻ,1
ờm,em,1
tính,bạn,1
acknowledge,lít,1
anh,vay,1
tức là,tốt về,1
luôn luôn,lâu lâu,1
thử,từ,1
cớ,cơ,1
sao,saoa,1
cái,em,1
hoàn,hàn,1
huuuu,trình,1
nói,nó,1
tại vì mình thấy rất nhiều,because i see many goosebippers already,1
relevant,quan,1
nó,ít,1
lười,lùi,1
sướng nhiều,sung múc,1
sòng phẳng,xâm phạm,1
khía cạnh,khí cảnh,1
danh hiệu hoa hậu,giai điệu hòa hoang,1
muốn,vũ,1
nó,itô,1
từ,thường,1
ràng,giằng,1
nước,gia,1
họ,nó,1
mature,chua,1
vào,mà,1
kìm,kim,1
nhoáng,hoa,1
anh,nếu,1
thi,thii,1
xa xôi,sau quoái,1
em,anh,1
đăng quang,đang qua,1
anh,an,1
thì,thế,1
hana có,đó không,1
không,mình,1
even,chí,1
cũng trên,lên vì,1
ừm,nghĩnh,1
blđ,blo,1
relearning,lại,1
người,mình,1
đừng đừng đừng,cuối cùng cứ,1
ở,đợi,1
thôi,nhé,1
giống,dương,1
bệ,về,1
đã,là,1
align,online,1
mindset,status,1
á,ạ,1
tính,và,1
tất,thực,1
đúng,ủa,1
idea,đi,1
relearn,lên,1
hả,nữa,1
nha,nhạc,1
hơi lâu nha,vậy đâu nhá,1
một cái,trở thành,1
nhưng,bạn,1
tự,từ,1
fail,theo,1
hết á,á thế,1
cây,tay,1
test,tests,1
nội part time,ngoại phát tham,1
