reference,hypothesis,count
đó,nó,8
yeah,giờ,6
fix mindset,mai sét,5
unlearn,lên,5
cái,các,5
đó,á,5
cô,cổ,5
mà,và,4
ừ,từ,4
nó,đó,4
là,lại,3
thì,thi,3
format,mát,3
tôi,tui,3
thực,thật,3
fix,phích,3
mindset,sét,3
ừm,ờm,3
em,anh,3
không,hông,3
unlearning,ninh,3
trong,trông,3
trong,cho,3
tính,tín,3
chill,chiu,2
launching,sinh,2
thi,tri,2
là,lạ,2
bởi,tại,2
nghĩ,nghỉ,2
tạo,tao,2
pr,a,2
platform,phong,2
1,một,2
fail,phèo,2
fixed mindset,mai sét,2
ví,thí,2
nói,nó,2
ừ,hừ,2
ừ,thì,2
yeah,nhờ,2
vượt,vượi,2
linh,đinh,2
learn,lên,2
xong,song,2
youtube,túp,2
evolve,evo,2
từ,tự,2
mình,anh,2
đến,tới,2
uhm,ờm,2
tôi,tô,2
thì,thiệt,2
đẹp,p,2
lý,ý,2
ừ,ờm,2
relearning,ninh,2
là,và,2
sướng,xướng,2
anh,ăn,2
thôi,luôn,2
đang quay,đăng quang,2
thì,vì,2
đây có khác,nơi cao tháp,1
shhhhh,đổi,1
mới chill,với chiêu,1
thì,thí,1
thách,hách,1
thử thật thách,thừ đặt thánh,1
28unit,ních,1
thách,khách,1
host,hốt,1
ờ,vâng,1
khi,kia,1
áp,ấp,1
thể,lẽ,1
ấp ủ,áp bụng,1
cộng,cộn,1
fan,phe,1
network,quần,1
lý,lí,1
lại,còn,1
cuộc,phim,1
plan,phen,1
cái format,pho mát,1
trong,trọng,1
đúng rồi,nếu ờ,1
có một cái,động công việc,1
top,tốp,1
ra khỏi cái,do phải kín,1
của,cuộc,1
miss cosmo từ,cót mô tại,1
không hiểu tại,đang nghĩ tài,1
cái gì,gì đó,1
hhhhha,sức,1
um,ờ,1
anh nghĩ,ăn nghỉ,1
của,cụ,1
phụ,phường,1
vẫn,cũng,1
trước giờ,chủ nhiệm,1
làm,la,1
the same nó,đề xem nếu,1
y hệt,hết mà,1
đâu,đầu,1
nhé,nhất,1
khung,phun,1
à,a,1
phong cách,phổ mác,1
format,mác,1
cosmo,bô,1
thắng,trắng,1
đặc,đặt,1
nhiều,nhìu,1
test and learn,sành lên cũng,1
ok,kê,1
ừ,hừm,1
cuộc,cúp,1
test,tét,1
tổ,tạo,1
chỉnh,chỉn,1
thấy,đấy,1
dạ,nhờ,1
đầu,đâu,1
fix mindset,gọi lại,1
lúc,khắc,1
ừm,hừ,1
rẽ,rẻ,1
có,ngơ,1
phù hợp,phì hợt,1
đủ,hết,1
từ ba,tự mai,1
it,nó,1
nó đắng,đó đáng,1
như,nhể,1
chung,trung,1
mindset,sách,1
từ kinh nghiệm,tự chiêm nghiệp,1
chính,chỉ,1
cái fixed mindset,phông bai sét,1
lên,trên,1
trăm,trắm,1
trăm phân,tám phần,1
trình learning,lơ ninh,1
cái,kể,1
trình,trì,1
từ,tới,1
đó,đấy,1
ceo,âu,1
đẹp,đệm,1
á,nữa,1
mindset,sát,1
fixed đâu,sự cắt,1
ừ,hư,1
mở,mỡ,1
belief,phớt,1
fix mindset,mai xét,1
belief,líp,1
fail,phiêu,1
fail đó,phao nó,1
vòng,bầu,1
thời,thể,1
bia,a,1
quá,á,1
chí,trí,1
thì thời,thời thới,1
social media content,ra cần ten,1
thế mà,tức là,1
facebook,phúc,1
ngày,nghề,1
truyền,t,1
thông,thanh,1
fail,pheo,1
win lên,quýnh lấy,1
fail,file,1
bảy,bãi,1
fixed mindset là,phít mai sết,1
cứng lên,ứng đến,1
ngã,ngả,1
mà,mờ,1
tin,tên,1
why not,quay nó,1
truyền thực,quỳnh lịch,1
debate sẽ,đi bây,1
à okay,hà ok,1
nó,nấu,1
hàn lâm,hàng lăm,1
tới,đến,1
vào,tạp,1
đến,unk,1
vận,bàn,1
anh,tương,1
bây giờ anh,bị ện bởi,1
hoàn,bạn,1
ồ a,ùa vài,1
cho ceo,xi hô,1
hahaaa,xuất,1
nếu,rồi,1
muốn,không,1
được,ở,1
profile,phai,1
ừ,em,1
ừ,phương,1
thay,hay,1
là,unk,1
rằng,ràng,1
ồ,ùa,1
bởi,tài,1
ừ,về,1
nó có,lớp phó,1
có những xuất phát,cơ sở xây dựng,1
rằng là,nạc ồ,1
ừ,lấy,1
ừm,ngủ,1
và fix mindset,phích mai sét,1
hhhhhh,dịt,1
ra hồi,vào chứ,1
cho,nhớ,1
không,cũng,1
còn,con,1
ông cháu,không giấu,1
nếu,nấu,1
đến,điểm,1
còn,gần,1
tựu,tụ,1
trăm,một,1
vượt trên,kiên ghi,1
phát,phép,1
nó lại,đó là,1
tựu,thụ,1
ấy,ý,1
leanring,ninh,1
unlearning,alerting,1
không,công,1
học,ờ,1
đường cong,đừng có,1
enroll,rôn,1
cách để,các đại,1
siêu,xiêu,1
unlearn,lơn,1
chatgpt,gpt,1
nâng,nân,1
là dựa vào,nó dựda trên,1
bigdata,data,1
sẽ có,có phải,1
okay,ok,1
vậy,dạy,1
á,nó,1
mà,ở,1
biết,bít,1
phải,sẽ,1
mình biết,ví mới,1
thật đủ,thợ đấu,1
hoàng,hoàn,1
đùa,đồ,1
là,được,1
unlean,lớn,1
máu,báo,1
unlearn bắt,lớn ban,1
thức,nước,1
điểm,điều,1
nhờ,nhở,1
ừ,ờ,1
luồng,buồng,1
yeah,unk,1
unlearn,đơn,1
unlean,linh,1
thấy,thế,1
đó,này,1
form,phom,1
tv,vi,1
social media,đi a,1
tiktok,tok,1
họ,mà,1
thân,dân,1
evolve,evom,1
ồ,ờ,1
trình,thì,1
là nhiều,nhiều cái,1
ừ,sướt,1
nó,tôi,1
nhành,nhạnh,1
nên,nhưng,1
mà,mọi,1
ôi,ủa,1
truyện,tâm,1
bất ngờ,nhưng mà,1
kỹ,kĩ,1
mỹ,mĩ,1
logic,gích,1
có,ra,1
lạ,à,1
vàng,vàn,1
prompt,rom,1
cụ,củ,1
làm,lập,1
against,ghen,1
chat gpt,bi ti,1
được một cách thành thạo,để mua cắp hành đạo,1
đó,đến,1
trách,cách,1
sau,sao,1
đẹp,nét,1
điềm,điểm,1
cảm ơn các,hoặc là thời,1
ừm,sư,1
unlearn trong,ở lên,1
được,kênh,1
bão hòa,bảo hoà,1
hiệu,điệu,1
challenge,x,1
câu,cô,1
câu quen,cô quenlắm,1
đúng,đùa,1
em đưa,làm được,1
embrace,roi,1
tinh thân,tâm thầm,1
về,rề,1
sẽ phải unlearn,phải ăn lên,1
thế kia,thể kỳ,1
triết,chiết,1
mà,hệ,1
thời,thới,1
trả,đó,1
bẫy,bậy,1
format này,mất nạn,1
nghĩ về format,nghĩa vọng rất,1
bod,body,1
từ trước như,đi mình làm,1
thì,thế,1
thế,thể,1
ừm,nguyễn,1
chắc phải,trước về,1
đánh giá,ngành trang,1
ừ,được,1
ràng,dằng,1
nữ,nữa,1
ừm,diệt,1
ừ,thừ,1
quyet,tuyệt,1
ụnlearn,lớn,1
circle,cổ,1
dùm,dùng,1
nghi,nghị,1
sao,sau,1
vì,việt,1
cũng có,cung cấp,1
ielts cũng,eo xuống,1
ielts,bayern,1
bản,bạn,1
của,với,1
hold mình back,khô bình bách,1
thôi,thoi,1
thi,theo,1
đẹp,để,1
thi,thì,1
