id,speaker,start,end,duration,reference,hypothesis,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer,perfect,substitution_details,deletion_details,insertion_details,note,changed
40,00040 SP 1,2:51.5,2:52.7,1.18s,hhhhha,unk một số sự sửa sức,1,6,0,1,0,5,6,6.0,False,"[{""reference"": ""hhhhha"", ""hypothesis"": ""sức"", ""reference_position"": [0, 1], ""hypothesis_position"": [5, 6], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""unk một số sự sửa"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 5], ""type"": ""insertion""}]",tiếng cười,True
261,00261 SP 2,14:43.2,14:44.6,1.38s,hhhhhh,dì xịt dì xịch dì dịt,1,6,0,1,0,5,6,6.0,False,"[{""reference"": ""hhhhhh"", ""hypothesis"": ""dịt"", ""reference_position"": [0, 1], ""hypothesis_position"": [5, 6], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""dì xịt dì xịch dì"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 5], ""type"": ""insertion""}]",tiếng cười,True
2,00002 SP 2,0:02.7,0:03.7,0.98s,shhhhh,từ sự thay đổi,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""shhhhh"", ""hypothesis"": ""đổi"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""từ sự thay"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",tiếng cười,True
234,00234 SP 2,13:51.4,13:51.9,0.52s,ừ,thực ra em,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""em"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thực ra"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",do âm thanh thu bị nhiễu => separation không tách được => lỗi,True
434,00434 SP 2,23:35.4,23:36.1,0.64s,challenge,cha lấn x,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""challenge"", ""hypothesis"": ""x"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""cha lấn"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",sai asr,True
221,00221 SP 2,13:19.9,13:20.3,0.36s,hahaaa,sự xuất,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""hahaaa"", ""hypothesis"": ""xuất"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""sự"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",tiếng cười,True
252,00252 SP 2,14:25.2,14:25.8,0.56s,ừ,kể lấy,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""lấy"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""kể"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",âm thanh thu nhiễu => bị lỗi nhận diện speaker trong separation,True
255,00255 SP 2,14:31.6,14:32.0,0.44s,ừm,em ngủ,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""ừm"", ""hypothesis"": ""ngủ"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""em"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",âm thanh thu nhiễu => bị lỗi nhận diện speaker trong separation,True
295,00295 SP 2,16:29.1,16:29.5,0.38s,yeah,unk giờ,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""yeah"", ""hypothesis"": ""giờ"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""unk"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",,True
362,00362 SP 2,19:39.2,19:39.6,0.44s,yeah,nhờ unk,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""yeah"", ""hypothesis"": ""unk"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""nhờ"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",backchannel khó nhận diện,True
503,00503 SP 2,26:49.3,26:49.8,0.46s,ừm,tiêu diệt,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""ừm"", ""hypothesis"": ""diệt"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""tiêu"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",tiếng separation chưa rõ lắm,True
510,00510 SP 2,27:03.8,27:04.3,0.46s,yeah,nhưng giờ,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""yeah"", ""hypothesis"": ""giờ"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""nhưng"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",asr sai,True
626,00626 SP 2,32:55.5,32:56.1,0.62s,huuuu,thời trình,1,2,0,1,0,1,2,2.0,False,"[{""reference"": ""huuuu"", ""hypothesis"": ""trình"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thời"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",tiếng cười,True
690,00690 SP 2,35:53.9,35:55.4,1.54s,one of the biggest changes that,một trong những cái thay đổi lớn mà,6,8,0,6,0,2,8,1.3333333333333333,False,"[{""reference"": ""one of the biggest changes that"", ""hypothesis"": ""những cái thay đổi lớn mà"", ""reference_position"": [0, 6], ""hypothesis_position"": [2, 8], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""một trong"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",,False
374,00374 SP 2,20:19.6,20:20.6,1.04s,tv báo youtube,ti vi báo diu túp,3,5,1,2,0,2,4,1.3333333333333333,False,"[{""reference"": ""tv"", ""hypothesis"": ""vi"", ""reference_position"": [0, 1], ""hypothesis_position"": [1, 2], ""type"": ""substitution""}, {""reference"": ""youtube"", ""hypothesis"": ""túp"", ""reference_position"": [2, 3], ""hypothesis_position"": [4, 5], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""ti"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""diu"", ""reference_position"": [2, 2], ""hypothesis_position"": [3, 4], ""type"": ""insertion""}]","asr whisper sai, qwen tinh chỉnh chọn sai",True
571,00571 SP 2,30:06.1,30:07.6,1.48s,lgbt hoặc là,el gi bi ti hoặc là,3,6,2,1,0,3,4,1.3333333333333333,False,"[{""reference"": ""lgbt"", ""hypothesis"": ""ti"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""el gi bi"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",,False
583,00583 SP 2,30:49.4,30:50.5,1.16s,acknowledge tức là anh phải,ạt mo lít tức là vay,5,6,2,2,1,2,5,1.0,False,"[{""reference"": ""acknowledge"", ""hypothesis"": ""lít"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}, {""reference"": ""anh"", ""hypothesis"": ""vay"", ""reference_position"": [3, 4], ""hypothesis_position"": [5, 6], ""type"": ""substitution""}]","[{""reference"": ""phải"", ""hypothesis"": """", ""reference_position"": [4, 5], ""hypothesis_position"": [6, 6], ""type"": ""deletion""}]","[{""reference"": """", ""hypothesis"": ""ạt mo"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",asr sai,True
420,00420 SP 0,22:52.7,22:53.3,0.62s,cảm ơn các bạn,hoặc là thời,4,3,0,3,1,0,4,1.0,False,"[{""reference"": ""cảm ơn các"", ""hypothesis"": ""hoặc là thời"", ""reference_position"": [0, 3], ""hypothesis_position"": [0, 3], ""type"": ""substitution""}]","[{""reference"": ""bạn"", ""hypothesis"": """", ""reference_position"": [3, 4], ""hypothesis_position"": [3, 3], ""type"": ""deletion""}]",[],tiếng nhiễu do âm thanh thu nhận thành sp0,True
43,00043 SP 2,3:02.3,3:03.0,0.70s,anh nghĩ ấy,ăn nghỉ,3,2,0,2,1,0,3,1.0,False,"[{""reference"": ""anh nghĩ"", ""hypothesis"": ""ăn nghỉ"", ""reference_position"": [0, 2], ""hypothesis_position"": [0, 2], ""type"": ""substitution""}]","[{""reference"": ""ấy"", ""hypothesis"": """", ""reference_position"": [2, 3], ""hypothesis_position"": [2, 2], ""type"": ""deletion""}]",[],lỗi asr khi nghe đoạn quá ngắn,True
47,00047 SP 1,3:12.9,3:13.3,0.38s,phụ so you,phường,3,1,0,1,2,0,3,1.0,False,"[{""reference"": ""phụ"", ""hypothesis"": ""phường"", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 1], ""type"": ""substitution""}]","[{""reference"": ""so you"", ""hypothesis"": """", ""reference_position"": [1, 3], ""hypothesis_position"": [1, 1], ""type"": ""deletion""}]",[],,False
871,00871 SP 1,46:03.2,46:03.8,0.60s,hơi lâu nha,và giao nhặt,3,3,0,3,0,0,3,1.0,False,"[{""reference"": ""hơi lâu nha"", ""hypothesis"": ""và giao nhặt"", ""reference_position"": [0, 3], ""hypothesis_position"": [0, 3], ""type"": ""substitution""}]",[],[],asr sai,True
