hypothesis,count
cái,23
là,15
ờ,14
phích,9
mà,7
nó,7
ăn,7
đó,6
a,5
anh,5
mình,4
các,4
ở,4
á,3
à,3
pho,3
thì,2
mít,2
họ,2
đấy,2
cũng,2
mai,2
ma,2
vi,2
của,2
một,2
vừa,2
kể,2
em,2
unk,2
ăn lơ,2
diu,2
không,2
đẹ,2
hiệu,2
rỉ lơ,2
ách,2
cha,2
người,2
những,2
hay,2
từ sự thay,1
hai tám iu,1
thực,1
lân,1
trả,1
nét,1
cho đọc,1
lan,1
cho nó,1
thấy,1
stanout phó,1
unk một số sự sửa,1
về chính,1
lười,1
phổ,1
vì,1
cốt,1
nếu,1
ờ cũng tái,1
ô,1
cái một,1
không thì nó,1
nên,1
phích mai sét cái pho,1
khoảnh,1
ở cái,1
sẽ,1
được,1
đuối,1
phả,1
mái,1
trị,1
xi i,1
thì bị líp,1
ở phích sờ,1
bì,1
làm,1
mi,1
cái pờ lá,1
sô sồ mi,1
phây,1
c,1
học,1
để,1
hoa hậu,1
xem,1
chòi,1
sự,1
pờ rô,1
thực ra,1
unk vừa,1
ngẩng,1
dạ,1
dì xịt dì xịch dì,1
cái cách,1
chúng,1
rơn,1
in,1
trash,1
big,1
đến,1
ờn,1
bình,1
nhờ,1
nợ,1
ti,1
sâu xồ mi,1
đến tik,1
ấn,1
trung,1
lô,1
chát ri,1
đã phải,1
cha lấn,1
em bờ,1
quan,1
chống,1
phỏng,1
chuyến,1
đo,1
tiêu,1
nhưng,1
sơ,1
miếng,1
dặm,1
đầu,1
el gi bi,1
bờ lá,1
ạt mo,1
tại,1
ấy,1
ăn lê,1
mít cốt,1
thời,1
hai,1
ý,1
êm mình,1
ìm,1
rim,1
gút,1
re lơ,1
rất,1
nữa,1
một trong,1
bị,1
và,1
như,1
vết,1
thừa mà chưa,1
ờm,1
đi,1
cái mục,1
bạn,1
hai không hai,1
ha na,1
thuyến,1
ra,1
b o,1
com,1
bi âu,1
bít,1
giống,1
lập,1
my,1
này,1
in nô vi,1
in ni,1
ai,1
rì,1
rỉ,1
hền,1
sẽ gặ,1
nên là,1
với anh,1
hồixưa,1
thường,1
nhìn,1
tách,1
