id,speaker,start,end,duration,reference,hypothesis,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer,perfect,substitution_details,deletion_details,insertion_details,note,changed
2,00002 SP 2,0:02.7,0:03.7,0.98s,shhhhh,sơ suy thích từ sự thay đổi,1,7,0,1,0,6,7,7.0,False,"[{""reference"": ""shhhhh"", ""hypothesis"": ""đổi"", ""reference_position"": [0, 1], ""hypothesis_position"": [6, 7], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""sơ suy thích từ sự thay"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 6], ""type"": ""insertion""}]",tiếng cười,True
235,00235 SP 2,13:53.1,13:53.6,0.48s,ừ,trời ơi phương xin mời anh xem,1,7,0,1,0,6,7,7.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""xem"", ""reference_position"": [0, 1], ""hypothesis_position"": [6, 7], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""trời ơi phương xin mời anh"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 6], ""type"": ""insertion""}]",do âm thanh thu bị nhiễu => separation không tách được => lỗi,True
234,00234 SP 2,13:51.4,13:51.9,0.52s,ừ,thế là thì tao thấy em,1,6,0,1,0,5,6,6.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""em"", ""reference_position"": [0, 1], ""hypothesis_position"": [5, 6], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thế là thì tao thấy"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 5], ""type"": ""insertion""}]",do âm thanh thu bị nhiễu => separation không tách được => lỗi,True
252,00252 SP 2,14:25.2,14:25.8,0.56s,ừ,cái gì vậy kể lấy,1,5,0,1,0,4,5,5.0,False,"[{""reference"": ""ừ"", ""hypothesis"": ""lấy"", ""reference_position"": [0, 1], ""hypothesis_position"": [4, 5], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""cái gì vậy kể"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 4], ""type"": ""insertion""}]",âm thanh thu nhiễu => bị lỗi nhận diện speaker trong separation,True
510,00510 SP 2,27:03.8,27:04.3,0.46s,yeah,nghĩa là nhưng in là,1,5,0,1,0,4,5,5.0,False,"[{""reference"": ""yeah"", ""hypothesis"": ""là"", ""reference_position"": [0, 1], ""hypothesis_position"": [4, 5], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""nghĩa là nhưng in"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 4], ""type"": ""insertion""}]",asr sai,True
255,00255 SP 2,14:31.6,14:32.0,0.44s,ừm,đến lúc thế mình,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""ừm"", ""hypothesis"": ""mình"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""đến lúc thế"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",âm thanh thu nhiễu => bị lỗi nhận diện speaker trong separation,True
503,00503 SP 2,26:49.3,26:49.8,0.46s,ừm,đúng rồi tiêu diệt,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""ừm"", ""hypothesis"": ""diệt"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""đúng rồi tiêu"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",tiếng separation chưa rõ lắm,True
626,00626 SP 2,32:55.5,32:56.1,0.62s,huuuu,thế giới dân trình,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""huuuu"", ""hypothesis"": ""trình"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thế giới dân"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",tiếng cười,True
40,00040 SP 1,2:51.5,2:52.7,1.18s,hhhhha,với sức khỏe,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""hhhhha"", ""hypothesis"": ""khỏe"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""với sức"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",tiếng cười,True
221,00221 SP 2,13:19.9,13:20.3,0.36s,hahaaa,chưa xin lỗi,1,3,0,1,0,2,3,3.0,False,"[{""reference"": ""hahaaa"", ""hypothesis"": ""lỗi"", ""reference_position"": [0, 1], ""hypothesis_position"": [2, 3], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""chưa xin"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 2], ""type"": ""insertion""}]",tiếng cười,True
