hypothesis,count
học,5
dạ,5
ăn,5
thế,4
phong,3
bên,2
là,2
thì,2
fix,2
ẩn,2
đúng,2
bất,2
sơ suy thích từ sự thay,1
lan,1
trải,1
cách,1
quốc tế,1
với sức,1
ấy,1
i,1
pho,1
nghiệm,1
nhờ yeah,1
sẽ,1
sao lầm sao,1
nó,1
thầy,1
mai,1
mái,1
quick,1
mình mà mình mà,1
đó,1
đi,1
chưa xin,1
thế là thì tao thấy,1
trời ơi phương xin mời anh,1
bên về,1
cái gì vậy kể,1
đến lúc thế,1
thật ra hồi trước giờ,1
ít khi nào dành thời gian để trả lời những tin đồn anh,1
vào chứ giờ anh ít khi nào dành thời gian để trả lời những cái tin đồn anh thì thật,1
cái tin,1
ở vn hay là,1
là là,1
cũng quen,1
không giấu cha con ông chú cha con,1
vâng,1
an,1
gì,1
lên,1
ơn,1
để,1
mình ơi,1
bạn,1
nhưng,1
hư thì,1
để gửi email,1
thầy thi,1
cảm,1
sa,1
chuyến,1
mình,1
thì là,1
đúng rồi tiêu,1
thì thế,1
nghĩa là nhưng in,1
and it s one,1
sơ,1
thấy ielts cũng vậy mà em,1
rồi ông như vậy hả,1
cũng,1
miếng bánh hạt hai mệnh,1
từ đúng,1
át mó,1
chúng ta sẽ tìm,1
thế mới không,1
thứ,1
thế giới dân,1
này,1
mình phải hành động,1
liên,1
and ăn uống,1
quốc,1
nào,1
mở,1
mà,1
khó,1
nè,1
à,1
thế này không,1
hình as,1
thậm,1
khủng,1
nên,1
đấy thôi chứ,1
em,1
my,1
sau mình thấy là ôi cái này mới quá sao mình thấy là ôi cái này mới quá,1
được,1
rí,1
bạn và,1
tại tao đang lưu,1
