reference,count
ờ,15
ừ,15
ừm,6
ờm,6
à,3
không,3
và,3
hoàn,2
mọi,2
vì,2
tốt,2
của,2
là,2
uhm,2
shhhhh,1
một,1
hhhhha,1
ấy,1
phụ,1
cho,1
cái,1
learn,1
tập trung được,1
kê,1
hợp,1
dụ,1
cái này chắc chắn,1
cách,1
đã,1
mình để đáp ứng với thị trường,1
họ fix,1
hahaaa,1
kiểu,1
rồi hàng,1
nhưng,1
hay,1
tại,1
em đọc được gần đây,1
đó là khái niệm,1
không gọi là,1
input,1
cứ,1
từ khi em ngừng làm máu,1
ư,1
yeah,1
ồ,1
nó không liên quan gì hết,1
anh,1
trước chẳng hạn chẳng hạn,1
các bạn,1
không tích cực,1
challenge,1
đây,1
về,1
đó,1
cơ thể,1
mình làm,1
nó ư,1
gia,1
cả,1
thi,1
chỉ có,1
vẽ,1
ngàn,1
hai mươi mấy hai mấy,1
hậu,1
chín,1
sau đó là người,1
phải,1
thì,1
để,1
pháp,1
act,1
good speaker rồi,1
lại,1
như,1
nam,1
nào,1
thật ra thì à,1
thành,1
cosmo,1
um,1
đạt,1
nói,1
up,1
lên,1
even,1
những,1
thêm,1
hoặc,1
uhm ờm,1
hoặc là tìm hiểu bản thân,1
