id,speaker,start,end,duration,reference,hypothesis,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer,perfect,substitution_details,deletion_details,insertion_details,note,changed
0,00000 SP 1,0:00.4,0:01.8,1.34s,bên ngoài thì trời đang mưa rồi,bên ngoài thì trời đang mưa rồi,7,7,7,0,0,0,0,0.0,True,[],[],[],,False
1,00001 SP 1,0:02.2,0:04.6,2.40s,mời được anh hoàng đến đây có khác trời đổ mưa liền,mời được anh hoàng đến nơi cao tháp trời đổ mưa liền,12,12,9,3,0,0,3,0.25,False,"[{""reference"": ""đây có khác"", ""hypothesis"": ""nơi cao tháp"", ""reference_position"": [5, 8], ""hypothesis_position"": [5, 8], ""type"": ""substitution""}]",[],[],,False
2,00002 SP 2,0:02.7,0:03.7,0.98s,shhhhh,từ sự thay đổi,1,4,0,1,0,3,4,4.0,False,"[{""reference"": ""shhhhh"", ""hypothesis"": ""đổi"", ""reference_position"": [0, 1], ""hypothesis_position"": [3, 4], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""từ sự thay"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 3], ""type"": ""insertion""}]",tiếng cười,True
3,00003 SP 2,0:05.6,0:07.7,2.06s,không khí phỏng vấn mới chill,thì không khí phỏng vấn với chiêu,6,7,4,2,0,1,3,0.5,False,"[{""reference"": ""mới chill"", ""hypothesis"": ""với chiêu"", ""reference_position"": [4, 6], ""hypothesis_position"": [5, 7], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""thì"", ""reference_position"": [0, 0], ""hypothesis_position"": [0, 1], ""type"": ""insertion""}]",asr sai,True
4,00004 SP 1,0:08.3,0:12.6,4.27s,chill thật là hy vọng là cái cuộc trò chuyện của mình nó cũng chill như cơn mưa nhưng mà,chiu thật là hy vọng là cái cuộc trò chuyện của mình nó cũng chiu như cơn mưa nhưng mà,20,20,18,2,0,0,2,0.1,False,"[{""reference"": ""chill"", ""hypothesis"": ""chiu"", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 1], ""type"": ""substitution""}, {""reference"": ""chill"", ""hypothesis"": ""chiu"", ""reference_position"": [14, 15], ""hypothesis_position"": [14, 15], ""type"": ""substitution""}]",[],[],asr sai từ tiếng anh,True
5,00005 SP 1,0:13.1,0:17.4,4.31s,thử thì vẫn phải thử mà thách thì vẫn phải thách chào mừng anh hoàng đến với thử thật thách,thử thì vẫn phải thử mà thách thí vẫn phải hách chào mừng anh hoàng đến với thừ đặt thánh,20,20,15,5,0,0,5,0.25,False,"[{""reference"": ""thì"", ""hypothesis"": ""thí"", ""reference_position"": [7, 8], ""hypothesis_position"": [7, 8], ""type"": ""substitution""}, {""reference"": ""thách"", ""hypothesis"": ""hách"", ""reference_position"": [10, 11], ""hypothesis_position"": [10, 11], ""type"": ""substitution""}, {""reference"": ""thử thật thách"", ""hypothesis"": ""thừ đặt thánh"", ""reference_position"": [17, 20], ""hypothesis_position"": [17, 20], ""type"": ""substitution""}]",[],[],asr sai,True
6,00006 SP 2,0:18.2,0:26.8,8.62s,xin chào 28unit và xin chào tất cả các độc giả của thử thách tôi đã sẵn sàng với những câu hỏi cực kỳ khó của host nghiêm ngọc,xin chào hai tám iu ních và xin chào tất cả các độc giả của thử thực khách tôi đã sẵn sàng với những câu hỏi cực kỳ khó của hốt nghiêm ngọc,29,33,26,3,0,4,7,0.2413793103448276,False,"[{""reference"": ""28unit"", ""hypothesis"": ""ních"", ""reference_position"": [2, 3], ""hypothesis_position"": [5, 6], ""type"": ""substitution""}, {""reference"": ""thách"", ""hypothesis"": ""khách"", ""reference_position"": [13, 14], ""hypothesis_position"": [17, 18], ""type"": ""substitution""}, {""reference"": ""host"", ""hypothesis"": ""hốt"", ""reference_position"": [26, 27], ""hypothesis_position"": [30, 31], ""type"": ""substitution""}]",[],"[{""reference"": """", ""hypothesis"": ""hai tám iu"", ""reference_position"": [2, 2], ""hypothesis_position"": [2, 5], ""type"": ""insertion""}, {""reference"": """", ""hypothesis"": ""thực"", ""reference_position"": [13, 13], ""hypothesis_position"": [16, 17], ""type"": ""insertion""}]",,True
7,00007 SP 1,0:37.6,0:45.5,7.90s,nhưng mà đầu tiên thì cũng mình bắt đầu một cái dễ dàng thôi là vừa launching xong cuộc thi miss cosmo rồi cảm xúc của anh bây giờ như thế nào,nhưng mà đầu tiên thì cũng mình bắt đầu một cái dễ dàng thôi là vừa lân sinh xong cuộc thi miss cosmo rồi cảm xúc của anh bây giờ như nào,32,32,30,1,1,1,3,0.09375,False,"[{""reference"": ""launching"", ""hypothesis"": ""sinh"", ""reference_position"": [16, 17], ""hypothesis_position"": [17, 18], ""type"": ""substitution""}]","[{""reference"": ""thế"", ""hypothesis"": """", ""reference_position"": [30, 31], ""hypothesis_position"": [31, 31], ""type"": ""deletion""}]","[{""reference"": """", ""hypothesis"": ""lân"", ""reference_position"": [16, 16], ""hypothesis_position"": [16, 17], ""type"": ""insertion""}]",,False
8,00008 SP 2,0:46.1,0:46.6,0.44s,ờ,vâng,1,1,0,1,0,0,1,1.0,False,"[{""reference"": ""ờ"", ""hypothesis"": ""vâng"", ""reference_position"": [0, 1], ""hypothesis_position"": [0, 1], ""type"": ""substitution""}]",[],[],asr sai,True
9,00009 SP 2,0:47.3,0:49.6,2.27s,cảm xúc của anh là lâng lâng tại vì bận quá,cảm xúc của anh là lâng lâng tại vì bận quá,11,11,11,0,0,0,0,0.0,True,[],[],[],,False
