id,reference,base_hypothesis,final_hypothesis,base_wer,final_wer,wer_improvement,status,transition,base_errors,final_errors
0,bên ngoài thì trời đang mưa rồi,bên ngoài thì trời đang mưa rồi,bên ngoài thì trời đang mưa rồi,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
1,mời được anh hoàng đến đây có khác trời đổ mưa liền,mời được anh hoàng đến đây vô pháp trời đổ mưa liền,mời được anh hoàng đến đây có khác trời đổ mưa liền,0.16666666666666666,0.0,0.16666666666666666,improved,wrong_to_correct,2,0
2,shhhhh,sơ suy thích,sơ suy thích từ sự thay đổi,3.0,7.0,-4.0,worsened,wrong_to_wrong,3,7
3,không khí phỏng vấn mới chill,không khí phỏng vấn với chiêu,không khí phỏng vấn với chiêu,0.3333333333333333,0.3333333333333333,0.0,unchanged,wrong_to_wrong,2,2
4,chill thật là hy vọng là cái cuộc trò chuyện của mình nó cũng chill như cơn mưa nhưng mà,chiêu thật là hi vọng là cái cuộc trò chuyện của mình nó cũng chiếu như cơn mưa nhưng mà,chiêu thật là hy vọng là cái cuộc trò chuyện của mình nó cũng chiêu như cơn mưa nhưng mà,0.15,0.1,0.04999999999999999,improved,wrong_to_wrong,3,2
5,thử thì vẫn phải thử mà thách thì vẫn phải thách chào mừng anh hoàng đến với thử thật thách,thử thì vẫn phải thử mà thách thì vẫn phải thách chào mừng anh hoàng đến với thử đặt thách,thử thì vẫn phải thử mà thách thì vẫn phải thách chào mừng anh hoàng đến với thử đặt thách,0.05,0.05,0.0,unchanged,wrong_to_wrong,1,1
6,xin chào 28unit và xin chào tất cả các độc giả của thử thách tôi đã sẵn sàng với những câu hỏi cực kỳ khó của host nghiêm ngọc,xin chào 28unit và xin chào tất cả các đọc giả của thử thật khách tôi đã sẵn sàng với những câu hỏi cực kỳ khó của host nghiêm ngọc,xin chào 28uniq và xin chào tất cả các độc giả của thử thách tôi đã sẵn sàng với những câu hỏi cực kỳ khó của host nghiêm ngọc,0.10344827586206896,0.034482758620689655,0.06896551724137931,improved,wrong_to_wrong,3,1
7,nhưng mà đầu tiên thì cũng mình bắt đầu một cái dễ dàng thôi là vừa launching xong cuộc thi miss cosmo rồi cảm xúc của anh bây giờ như thế nào,nhưng mà đầu tiên thì cũng mình bắt đầu một cái dễ dàng thôi là vừa lunching xong cuộc thi miss cosmo rồi cảm xúc của anh bây giờ như thế nào,nhưng mà đầu tiên thì cũng mình bắt đầu một cái dễ dàng thôi là vừa launching xong cuộc thi miss cosmo rồi cảm xúc của anh bây giờ như thế nào,0.03125,0.0,0.03125,improved,wrong_to_correct,1,0
8,ờ,bên,bên vâng,1.0,2.0,-1.0,worsened,wrong_to_wrong,1,2
9,cảm xúc của anh là lâng lâng tại vì bận quá,cảm xúc của anh là lân lân tại vì bận quá,cảm xúc của anh là lâng lâng tại vì bận quá,0.18181818181818182,0.0,0.18181818181818182,improved,wrong_to_correct,2,0
10,nói thật là kiểu khi mà mình,nói thật là kiểu khi mà mình,nói thật là kiểu khi mà mình,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
11,mình ấp ủ,mình làm ồn,mình làm ồn,0.6666666666666666,0.6666666666666666,0.0,unchanged,wrong_to_wrong,2,2
12,giống như mình áp ủ một đứa con của mình vậy đó xong cuối cùng là mình nhìn thấy cái ngày mà mình được giới thiệu với mọi người,giống như mình áp ủ một đứa con của mình vậy đó xong cuối cùng là mình nhìn thấy cái ngày mà mình được giới thiệu với mọi người,giống như mình áp ủ một đứa con của mình vậy đó xong cuối cùng là mình nhìn thấy cái ngày mà mình được giới thiệu với mọi người,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
13,trong cái chương trình đó có thể là đối với mọi người nó là một buổi họp báo đơn giản thôi nhưng đối với tụi anh thật sự nó là rất là nhiều những cái,trong cái chương trình đó có thể là đối với mọi người nó là một buổi họp báo đơn giản thôi nhưng đối với tụi anh thật sự nó là rất là nhiều những cái,trong cái chương trình đó có thể là đối với mọi người nó là một buổi họp báo đơn giản nhưng đối với tụi anh thật sự nó là rất là nhiều những cái,0.0,0.02857142857142857,-0.02857142857142857,worsened,correct_to_wrong,0,1
14,tâm tư mà mình,tâm tư mà mình,tâm tư mà mình,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
15,mình ấp ủ mình chuẩn bị cho một thời gian dài,mình áp ủ mình chuẩn bị cho một thời gian dài,mình áp dụng mình chuẩn bị cho một thời gian dài,0.09090909090909091,0.18181818181818182,-0.09090909090909091,worsened,wrong_to_wrong,1,2
16,và cuối cùng mình cũng có thể được chia sẻ với mọi người,và cuối cùng mình có thể được chia sẻ với mọi người,và cuối cùng mình cũng có thể được chia sẻ với mọi người,0.07692307692307693,0.0,0.07692307692307693,improved,wrong_to_correct,1,0
17,và may mắn là ngày hôm đó xong thì tụi anh nhận được một cái hiệu ứng rất là tích cực sự đón nhận,và may mắn là ngày hôm đó xong thì tụi anh nhận được một cái hiệu ứng rất là tích cực sự đón nhận,và may mắn là ngày hôm đó xong thì tụi anh nhận được một cái hiệu ứng rất là tích cực sự đón nhận,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
18,của cộng đồng không phải chỉ trong nước mà còn ngoài nước cộng đồng fan quốc tế nữa,của cộng đồng không chỉ trong nước mà còn ngoài nước cộng đòn phé quốc tế nữa,của cộng đồng không chỉ trong nước mà còn ngoài nước mà còn quốc tế nữa,0.16666666666666666,0.2222222222222222,-0.05555555555555555,worsened,wrong_to_wrong,3,4
19,và anh nhận được rất là nhiều những lời chúc mừng từ những người bạn những người đồng nghiệp cũ những network của anh trên cả thế giới trong cái lĩnh vực sắc đẹp,và anh nhận được rất là nhiều những trả lời chúc mừng từ những người bạn những người đồng nghiệp cũ những network của anh trên cả thế giới trong cái lĩnh vực sắc nẹp,và anh nhận được rất là nhiều những lời chúc mừng từ những người bạn những người đồng nghiệp cũ những network của anh trên cả thế giới trong cái lĩnh vực sắc đẹp,0.058823529411764705,0.0,0.058823529411764705,improved,wrong_to_correct,2,0
20,thế nên là đầu tiên thì rất vui và lâng lâng nhưng mà sau đó mình mới nhận ra là à cái khối lượng công việc phải tiếp tục xử lý sau họp báo mình tưởng là nhẹ nhàng đi nhưng cuối cùng lại tăng lên,thế nên là đầu tiên thì rất là vui và lân lân nhưng mà sau đó mình mới nhận ra là cái khối lượng công việc phải tiếp tục xử lý sau họp báo mình tưởng là nhẹ nhàng đi nhưng mà cuối cùng tăng lên,thế nên là đầu tiên thì rất vui và lâng lâng nhưng mà sau đó mình mới nhận ra là cái khối lượng công việc phải tiếp tục xử lý sau họp báo mình tưởng là nhẹ nhàng đi nhưng cuối cùng lại tăng lên,0.13043478260869565,0.021739130434782608,0.10869565217391304,improved,wrong_to_wrong,6,1
21,cho nên là thực ra hiện đại tất cả mọi người đều đang tăng ca hết công suất để có thể đáp ứng được và,cho nên là thật ra hiện đại tất cả mọi người đều đang tăng ca hết công suất để có thể đáp ứng được và,cho nên là thực ra hiện đại tất cả mọi người đều đang tăng ca hết công suất để có thể đáp ứng được và,0.04,0.0,0.04,improved,wrong_to_correct,1,0
22,đảm bảo là những cái lời hứa mà mình mang đến cho khán giả trong ngày họp báo thì,đảm bảo là những cái lời hứa mà mình mang đến cho khán giả trong cái ngày họp báo thì,đảm bảo là những cái lời hứa mà mình mang đến cho khán giả trong ngày họp báo thì,0.05263157894736842,0.0,0.05263157894736842,improved,wrong_to_correct,1,0
23,mình sẽ làm được nhiều và nhiều hơn nữa,mình sẽ làm được nhiều và nhiều hơn nữa,mình sẽ làm được nhiều và nhiều hơn nữa,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
24,từ cái lúc mà anh nói cho em biết về,từ cái lúc mà anh nói cho em biết về,from cái lúc mà anh nói cho em biết về,0.0,0.1,-0.1,worsened,correct_to_wrong,0,1
25,cái dự định mở một cuộc thi mới cho đến khi launching đến bây giờ là,cái dự định mở một cuộc phim mới cho đến khi lan trinh đến bây giờ là,cái dự định mở một phim mới cho đến khi lan sinh đến bây giờ là,0.1875,0.25,-0.0625,worsened,wrong_to_wrong,3,4
26,hơn năm,hơn năm,hơn năm,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
27,hơn năm lận và trong quá trình đấy thì mình đã phải plan rất nhiều thứ kể cả cái việc đổi cái format cuộc thi trong nước để phù hợp với cuộc thi,,hơn năm lần và trong quá trình đó thì mình đã phải trải qua rất nhiều thứ kể cả việc đổi cách tổ chức cuộc thi trong nước để phù hợp với cuộc thi quốc tế,1.0,0.30303030303030304,0.696969696969697,improved,wrong_to_wrong,33,10
28,đúng rồi,đúng rồi,đúng rồi,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
29,cho nước ngoài sắp tới thì trong đó có một cái thay đổi mà,cho nước ngoài sắp tới thì trong đó có một cái thay đổi mà,cho nước ngoài sắp tới thì trong đó có một cái thay đổi mà,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
30,có một cái thay đổi mà rất là nhiều người chú ý là không có top ba chỉ có top hai thôi cũng không,có một cái thay đổi mà rất nhiều người chú ý là không có top 3 chỉ có top 2 thôi cũng không,có một cái thay đổi mà rất là nhiều người chú ý là không có tốt ba chỉ có tốt hai thôi cũng không,0.125,0.08333333333333333,0.04166666666666667,improved,wrong_to_wrong,3,2
31,câu hỏi câu hỏi ứng xử mà debate với nhau luôn,câu hỏi câu hỏi ứng xử mà device với nhau luôn,câu hỏi câu hỏi ứng xử mà debate với nhau luôn,0.09090909090909091,0.0,0.09090909090909091,improved,wrong_to_correct,1,0
32,có rất là nhiều thay đổi như vậy,có rất là nhiều thay đổi như vậy,có rất là nhiều thay đổi như vậy,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
33,và đôi khi em thắc mắc là lý do tại sao anh quyết định đổi như vậy,và đôi khi em thắc mắc là lý do tại sao anh quyết định đổi như vậy,và đôi khi em thắc mắc là lý do tại sao anh quyết định đổi như vậy,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
34,có phải là nếu như mà,có phải là nếu như mà,có phải là nếu như mà,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
35,cái này là em nghĩ thôi nha nếu như không đổi thì cuộc thi của mình nó vẫn sẽ giống như những cuộc thi thông thường,cái này là em nghĩ thôi nha nếu như không đổi thì cuộc thi của mình nó vẫn sẽ giống như những cuộc thi thông thường,cái này là em nghĩ thôi nha nếu như không đổi thì cuộc thi của mình nó vẫn sẽ giống như những cuộc thi thông thường,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
36,dạ,dạ,dạ,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
37,nó rất là khó nổi bật ra khỏi cái mặt bằng chung rất nhiều của thi hiện nay,nó rất là khó stand out khó nổi bật do phải cái mặt bằng chung rất nhiều của khi hiện nay,nó rất là khó nổi bật ra khỏi cái mặt bằng chung rất nhiều của thi hiện nay,0.3333333333333333,0.0,0.3333333333333333,improved,wrong_to_correct,6,0
38,anh nghĩ ngọc chắc là một trong những người biết,anh nghị ngọc chắc là một trong những người biết,anh nghị ngọc chắc là một trong những người biết,0.1,0.1,0.0,unchanged,wrong_to_wrong,1,1
39,về những cái cột mốc và những thay đổi đầu tiên của miss cosmo từ việt nam tới quốc tế thì anh không hiểu tại sao trong những dịp mà anh đang suy nghĩ về việc làm cái gì mới thì,về những cái cột mốc và những thay đổi đầu tiên của miss cosmo từ việt nam đến quốc tế thì anh không hiểu tại sao trong những dịp mà anh đang suy nghĩ về việc làm gì mới,về những cái cột mốc và những thay đổi đầu tiên của microsoft mo từ việt nam tới quốc tế thì anh không hiểu tại sao trong những dịp mà anh đang suy nghĩ về việc làm cái gì mới thì,0.07317073170731707,0.04878048780487805,0.02439024390243902,improved,wrong_to_wrong,3,2
40,hhhhha,với sức khỏe,với sức khỏe,3.0,3.0,0.0,unchanged,wrong_to_wrong,3,3
41,gần như tình cờ là anh em mình đều gặp nhau đúng không trong những buổi cà phê,gần như tình cờ là anh em mình đều gặp nhau trong những buổi cà phê,gần như tình cờ là anh em mình đều gặp nhau đúng không trong những buổi cà phê,0.1111111111111111,0.0,0.1111111111111111,improved,wrong_to_correct,2,0
42,um thì,thì,um thì,0.5,0.0,0.5,improved,wrong_to_correct,1,0
43,anh nghĩ ấy,anh ấy,anh ấy ăn nghỉ,0.3333333333333333,1.0,-0.6666666666666667,worsened,wrong_to_wrong,1,3
44,cái quan điểm từ của anh giờ nó không đổi tức là,cái quan điểm từ của anh đến giờ nó không đổi tức là,cái quan điểm từ của anh giờ nó không đổi tức là,0.08333333333333333,0.0,0.08333333333333333,improved,wrong_to_correct,1,0
45,nếu mà mình chỉ có làm mọi thứ giống nhau thì mình không thể mong đợi kết quả nó sẽ khác đi được,nếu mà mình chỉ có làm mọi thứ giống nhau thì mình không thể mong đợi kết quả nó sẽ khác đi được,nếu mà mình chỉ có làm mọi thứ giống nhau thì mình không thể mong đợi kết quả nó sẽ khác đi được,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
46,có đúng không,i don t love,i don t love,1.3333333333333333,1.3333333333333333,0.0,unchanged,wrong_to_wrong,4,4
47,phụ so you,phụ nữ,phụ so you,0.6666666666666666,0.0,0.6666666666666666,improved,wrong_to_correct,2,0
48,thì rõ ràng là nếu mà mình vẫn làm như từ trước giờ mình làm và mình cũng làm giống như cách mọi người làm và mọi nghĩ nó phải là á,thì rõ ràng là nếu mà mình cũng làm như tôi chứng nhận mình làm và mình cũng giống như cách mọi người làm và mọi nghĩ nó phải là,thì rõ ràng là nếu mà mình cũng làm như tôi làm và mình cũng giống như cách mọi người làm và mọi nghĩ nó phải là ở,0.1875,0.21875,-0.03125,worsened,wrong_to_wrong,6,7
49,thì chắc chắn cái kết quả nó sẽ là the same nó chỉ có thể là giống hoặc tệ hơn thôi,thì chắc chắn cái kết quả nó sẽ là để xem nó chỉ có thể là giống hoặc tệ hơn thôi,thì chắc chắn cái kết quả nó sẽ là đề xem nó chỉ có thể là giống hoặc tệ hơn thôi,0.09523809523809523,0.09523809523809523,0.0,unchanged,wrong_to_wrong,2,2
50,tại vì người ta đã làm rồi,tại vì người ta đã làm rồi,tại vì người ta đã làm rồi,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
51,mình cũng làm lặp lại y hệt mình còn tư duy lười cải tiến nữa thì chắc chắn là sẽ không thành công,mình cũng làm lặp lại hết mà mình còn lười tư duy lời cải tiến nữa thì chắc chắn là sẽ không thành công,mình cũng làm lặp lại hay là mình còn tư duy cải tiến nữa thì chắc chắn là sẽ không thành công,0.17391304347826086,0.13043478260869565,0.043478260869565216,improved,wrong_to_wrong,4,3
52,thì quan điểm của tụi anh là nếu mà mình có một cái cơ hội để làm mới thì mình sẽ làm mới,thì quan điểm của tụi anh là nếu mình có một cái cơ hội để làm mới thì mình sẽ làm mới,thì quan điểm của tụi anh là nếu mà mình có một cái cơ hội để làm mới thì mình sẽ làm mới,0.043478260869565216,0.0,0.043478260869565216,improved,wrong_to_correct,1,0
53,mà ở đây mình còn là có cơ hội làm từ đâu nữa cơ,mà ở đây mình còn là có cơ hội làm từ đâu nữa đó,mà ở đây mình còn là có cơ hội làm từ đâu nữa đó,0.07142857142857142,0.07142857142857142,0.0,unchanged,wrong_to_wrong,1,1
54,anh coi đó là cơ hội nhé tại vì mình sinh ra cái thương hiệu cái sản phẩm này là từ bắt đầu,anh coi nó là cơ hội nhé tại vì mình sinh ra thương hiệu sản phẩm này từ bắt đầu,anh coi đó là cơ hội nhé tại vì mình sinh ra cái thương hiệu cái sản phẩm này là từ bắt đầu,0.17391304347826086,0.0,0.17391304347826086,improved,wrong_to_correct,4,0
55,cho nên mình cũng không bị đóng khung trong câu chuyện là phải như thế nào cho đúng,cho nên mình cũng không bị đóng phung trong câu chuyện là phải như thế nào cho đúng,cho nên mình cũng không bị đóng phun trong câu chuyện là phải như thế nào cho đúng,0.05555555555555555,0.05555555555555555,0.0,unchanged,wrong_to_wrong,1,1
56,thì anh chỉ thấy là à ok có những cái nguyên tắc trong cái việc,thì anh chỉ thấy là à ok có những cái nguyên tắc trong cái việc,thì anh chỉ thấy là à ok có những cái nguyên tắc trong cái việc,0.0,0.0,0.0,unchanged,correct_to_correct,0,0
