hypothesis,count
cái,27
là,15
mà,10
đó,6
nó,5
thì,4
ở,4
á,4
ăn,4
một,3
rồi,3
đến,2
nên,2
sẽ,2
mình,2
đã,2
để,2
anh,2
em,2
đầu,2
như,2
sơ suy,1
thật,1
trả,1
lan,1
stand out khó,1
với sức,1
i,1
lười,1
phong,1
họ,1
đấy,1
khoảnh,1
được,1
my,1
hết,1
những,1
chuyên,1
và,1
chưa xin,1
thế là là,1
trời,1
u,1
cái gì,1
thế,1
charge,1
big,1
ơn,1
short,1
ẩn,1
nghĩ,1
thông,1
hệ,1
của mình,1
cảm,1
trong,1
phỏng,1
chứ,1
đúng,1
nghĩa,1
by,1
mười sắp,1
thế giới,1
nghe,1
ra,1
nữa,1
ờ,1
một trong,1
nhiên,1
này,1
mở chua,1
cũng,1
hay,1
của,1
hình as,1
ạ,1
nè,1
làm,1
thế nào,1
vậy,1
trở thành,1
hợp tật,1
tạ,1
bóng,1
có,1
nói,1
