hypothesis,count
cái,68
là,26
nó,15
mà,10
mình,8
thì,7
cũng,5
ăn,5
đó,4
anh,4
người,3
phong,3
ở,3
my,3
fix,3
thế,3
ẩn,3
phải,3
không,2
đấy,2
một,2
mai,2
ba,2
truyền,2
đi,2
và,2
đầu,2
thể,1
hai tám,1
độc cho,1
từ,1
lan,1
cho nó,1
stena phó,1
cho,1
được chín,1
lời,1
cái một cái,1
họ,1
nghiệm,1
không thì nó,1
nên,1
cái gọi là thế,1
phản,1
về đời ở,1
sẽ,1
được,1
tức là,1
quick,1
làm,1
cần,1
những,1
của,1
bảo,1
ý,1
vị,1
thì tao thấy,1
xin mời anh,1
ồ,1
kế,1
is isso isso,1
cái tin,1
cách,1
mình đều,1
an,1
chat,1
bit,1
lên,1
em,1
ơn,1
đúng,1
đã phải tự,1
chứ,1
hơi chiết,1
kẻ bưu,1
chuyến,1
rằng,1
there,1
in,1
and it s one,1
sơ,1
lại,1
có,1
l,1
nhé,1
nhớ,1
hiễu hiệu quả,1
xin,1
sinh,1
mình đặt,1
mình sẽ,1
nhiên,1
mặt,1
đất,1
á,1
nhanh,1
they don,1
là mở chua tức,1
dấu,1
cái một,1
cũ,1
bạn,1
hai nghìn lẻ hai mươi,1
thấy,1
cứ,1
nhưng,1
giống,1
lặp,1
innovative,1
ri,1
lấy,1
trở thành,1
tất,1
nên là,1
á an,1
hồi xưa,1
giờ,1
nói,1
